operation,mode,resource,start,duration,preferences
1,1,1,0.00,35.00,
1,1,2,15.00,24.00,
1,1,9,0.00,20.00,
1,2,2,0.00,19.00,
1,2,3,10.00,22.00,
1,2,9,0.00,20.00,
1,3,2,0.00,41.00,
1,3,9,0.00,20.00,
2,1,3,10.00,16.00,1
2,1,6,0.00,18.00,1
2,1,7,18.00,18.00,1
2,1,9,0.00,20.00,1
2,2,4,8.00,12.00,1
2,2,6,12.00,18.00,1
2,2,7,0.00,12.00,1
2,2,9,0.00,20.00,1
3,1,1,1.00,29.00,1;2
3,1,4,0.00,17.00,1;2
3,1,5,17.00,20.00,1;2
3,1,9,0.00,20.00,1;2
4,1,3,0.00,10.00,2;3
4,1,7,0.00,18.00,2;3
4,1,9,0.00,10.00,2;3
4,2,3,0.00,10.00,2;3
4,2,8,0.00,18.00,2;3
4,2,9,0.00,10.00,2;3
5,1,6,0.00,43.00,3;4
5,2,5,0.00,15.00,3;4
5,2,6,15.00,15.00,3;4
5,3,5,14.00,14.00,3;4
5,3,6,0.00,14.00,3;4
5,3,7,10.00,9.00,3;4
5,4,5,0.00,32.00,3;4
6,1,6,10.00,12.00,4;5
6,1,7,0.00,15.00,4;5
6,1,8,15.00,12.00,4;5
7,1,6,0.00,18.00,4;6
7,1,7,18.00,20.00,4;6
7,2,6,0.00,42.00,4;6
8,1,6,0.00,22.00,7
9,1,7,0.00,6.00,7
10,1,1,0.00,10.00,9
10,1,3,0.00,20.00,9
10,1,5,20.00,10.00,9
10,1,7,20.00,5.00,9
10,1,9,25.00,5.00,9
10,2,2,0.00,10.00,9
10,2,4,10.00,10.00,9
10,2,6,20.00,10.00,9
10,2,8,30.00,5.00,9
10,3,5,0.00,30.00,9
10,3,8,30.00,2.00,9
10,3,9,32.00,3.00,9
