operation,mode,resource,start,duration,preferences
1,1,3,0.00,32.00,
1,2,2,0.00,25.00,
2,1,4,0.00,11.00,1
2,1,6,11.00,7.00,1
2,2,1,0.00,14.00,1
2,2,5,10.00,15.00,1
2,2,7,14.00,8.00,1
2,3,3,0.00,11.00,1
3,1,1,0.00,17.00,1;2
3,1,5,17.00,10.00,1;2
3,1,6,27.00,15.00,1;2
4,1,4,0.00,18.00,3
4,1,7,10.00,31.00,3
5,1,8,0.00,23.00,3;4
5,2,4,0.00,18.00,3;4
5,2,7,10.00,8.00,3;4
6,1,2,7.00,8.00,3;4
6,1,8,0.00,15.00,3;4
7,1,1,20.00,7.00,4;6
7,1,5,0.00,20.00,4;6
7,2,5,0.00,18.00,4;6
7,2,6,10.00,8.00,4;6
8,1,3,0.00,30.00,5;7
8,1,6,0.00,10.00,5;7
