operation,mode,resource,start,duration,preferences
1,1,1,0.00,99.99,
1,2,2,0.00,99.99,
1,3,3,0.00,99.99,
2,1,1,0.00,99.99,
2,2,2,0.00,99.99,
2,3,3,0.00,99.99,
3,1,1,0.00,99.99,
3,2,2,0.00,99.99,
3,3,3,0.00,99.99,
4,1,1,0.00,99.99,
4,2,2,0.00,99.99,
4,3,3,0.00,99.99,
5,1,1,0.00,99.99,
5,2,2,0.00,99.99,
5,3,3,0.00,99.99,
6,1,1,0.00,99.99,
6,2,2,0.00,99.99,
6,3,3,0.00,99.99,
7,1,1,0.00,99.99,
7,2,2,0.00,99.99,
7,3,3,0.00,99.99,
8,1,1,0.00,99.99,
8,2,2,0.00,99.99,
8,3,3,0.00,99.99,
9,1,1,0.00,99.99,
9,2,2,0.00,99.99,
9,3,3,0.00,99.99,
