Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, longest_preceding, mean_preceding, LB, LB_res, UB, greedy_all, operations, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, loaded_shortest_modes, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, modes, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, precedence_forward, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, precedence_backwards, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, precedence_sons, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, precedence_all, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, precedence_time_forward, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, greedy_sum_preferences, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, greedy_by_best_preferences, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_1, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, origin, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 4, 1.9, 1228.0, 1228.0, 1255.0, 1255.0, 1462.0, 0.006, 100.000, 2.0, -1, greedy=100, True, 1478.0, 0.001, 100.000, 1.0, -1, greedy=100, True, 1377.0, 0.355, 100.000, 3.0, -1, greedy=100, True, 1255.0, 0.295, 100.000, 3.0, -1, greedy=100, True, 1436.0, 0.374, 100.000, 2.0, -1, greedy=100, True, 1552.0, 0.394, 100.000, 2.0, -1, greedy=100, True, 1378.0, 0.363, 100.000, 3.0, -1, greedy=100, True, 1255.0, 0.288, 100.000, 3.0, -1, greedy=100, True, 1309.0, 0.340, 100.000, 2.0, -1, greedy=100, True, 1255.0, 0.305, 100.000, 3.0, -1, greedy=100, True, 1255.0, 1.083, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.034, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.118, 100.000, 3.0, 0, greedy=100, True, 1255.0, 0.965, 100.000, 3.0, 0, greedy=100, True, 1255.0, 0.930, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.072, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.034, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.031, 100.000, 3.0, 0, greedy=100, True, 1255.0, 0.978, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.151, 100.000, 3.0, 0, greedy=100, True, 1255.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 4, 1.5, 1192.0, 1192.0, 1192.0, 1192.0, 1572.0, 0.028, 100.000, 15.0, -1, greedy=100, True, 1442.0, 0.015, 100.000, 14.0, -1, greedy=100, True, 1283.0, 0.984, 100.000, 16.0, -1, greedy=100, True, 1192.0, 1.126, 100.000, 11.0, -1, greedy=100, True, 1413.0, 1.223, 100.000, 13.0, -1, greedy=100, True, 1192.0, 0.978, 100.000, 14.0, -1, greedy=100, True, 1233.0, 1.164, 100.000, 19.0, -1, greedy=100, True, 1326.0, 1.066, 100.000, 14.0, -1, greedy=100, True, 1214.0, 0.988, 100.000, 15.0, -1, greedy=100, True, 1192.0, 1.026, 100.000, 16.0, -1, greedy=100, True, 1192.0, 4.152, 100.000, 11.0, 0, greedy=100, True, 1192.0, 4.544, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.149, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.012, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.319, 100.000, 11.0, 0, greedy=100, True, 1192.0, 6.238, 100.000, 11.0, 0, greedy=100, True, 1192.0, 4.751, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.533, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.888, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.658, 100.000, 11.0, 0, greedy=100, True, 1192.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 26, 13.837837837837839, 7133.0, 7228.0, 7332.0, 7332.0, 7680.0, 0.022, 100.000, 1.0, -1, greedy=100, True, 7997.0, 0.010, 100.000, 0.0, -1, greedy=100, False, 7567.0, 1.913, 100.000, 2.0, -1, greedy=100, True, 7332.0, 1.886, 100.000, 0.0, -1, greedy=100, False, 7654.0, 1.827, 100.000, 0.0, -1, greedy=100, False, 7621.0, 1.808, 100.000, 0.0, -1, greedy=100, False, 7682.0, 2.148, 100.000, 0.0, -1, greedy=100, False, 8116.0, 1.663, 100.000, 0.0, -1, greedy=100, False, 7539.0, 1.839, 100.000, 0.0, -1, greedy=100, False, 7332.0, 1.798, 100.000, 0.0, -1, greedy=100, False, 7332.0, 7.287, 100.000, 0.0, 0, greedy=100, False, 7332.0, 6.924, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.681, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.226, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.905, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.018, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.785, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.699, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.237, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.355, 100.000, 0.0, 0, greedy=100, False, 7332.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 20, 10.366666666666667, 5445.0, 5476.0, 6492.0, 6724.0, 6909.0, 0.028, 100.000, 1.0, -1, greedy=100, True, 7068.0, 0.014, 100.000, 1.0, -1, greedy=100, True, 6743.0, 1.831, 100.000, 1.0, -1, greedy=100, True, 6724.0, 1.666, 100.000, 0.0, -1, greedy=100, False, 7052.0, 1.787, 100.000, 1.0, -1, greedy=100, True, 7003.0, 1.806, 100.000, 1.0, -1, greedy=100, True, 6887.0, 1.917, 100.000, 0.0, -1, greedy=100, False, 6989.0, 1.854, 100.000, 0.0, -1, greedy=100, False, 6724.0, 1.710, 100.000, 0.0, -1, greedy=100, False, 6733.0, 1.749, 100.000, 0.0, -1, greedy=100, False, 6492.0, 7.614, 100.000, 1.0, 49, greedy=89.16015625;ga=10.83984375, True, 6541.0, 7.766, 100.000, 1.0, 47, greedy=100.0, True, 6696.0, 9.067, 100.000, 1.0, 2, greedy=100.0, True, 6551.0, 7.696, 100.000, 0.0, 24, greedy=95.703125;ga=4.296875, False, 6624.0, 8.840, 100.000, 1.0, 11, greedy=100.0, True, 6674.0, 8.333, 100.000, 0.0, 8, greedy=100.0, False, 6492.0, 9.953, 100.000, 1.0, 43, greedy=100.0, True, 6573.0, 8.282, 100.000, 0.0, 32, greedy=100.0, False, 6672.0, 9.189, 100.000, 0.0, 2, greedy=75.0;ga=25.0, False, 6593.0, 8.953, 100.000, 1.0, 5, greedy=100.0, True, 6492.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 6, 1.606060606060606, 1967.0, 1967.0, 2367.0, 2426.0, 3341.0, 0.082, 100.000, 0.0, -1, greedy=100, False, 4543.0, 0.040, 100.000, 0.0, -1, greedy=100, False, 2765.0, 2.207, 100.000, 3.0, -1, greedy=100, True, 2426.0, 2.266, 100.000, 0.0, -1, greedy=100, False, 2878.0, 2.306, 100.000, 0.0, -1, greedy=100, False, 2788.0, 2.301, 100.000, 1.0, -1, greedy=100, True, 2733.0, 2.242, 100.000, 2.0, -1, greedy=100, True, 2545.0, 2.283, 100.000, 2.0, -1, greedy=100, True, 2453.0, 2.245, 100.000, 1.0, -1, greedy=100, True, 2435.0, 2.388, 100.000, 1.0, -1, greedy=100, True, 2426.0, 8.488, 100.000, 0.0, 0, greedy=100, False, 2393.0, 9.197, 100.000, 0.0, 7, greedy=100.0, False, 2383.0, 8.355, 100.000, 0.0, 19, greedy=100.0, False, 2393.0, 9.128, 100.000, 0.0, 2, greedy=100.0, False, 2367.0, 9.135, 100.000, 0.0, 6, greedy=100.0, False, 2393.0, 10.152, 100.000, 0.0, 13, greedy=100.0, False, 2393.0, 8.779, 100.000, 0.0, 12, greedy=100.0, False, 2426.0, 9.720, 100.000, 0.0, 0, greedy=100, False, 2426.0, 9.832, 100.000, 0.0, 0, greedy=100, False, 2393.0, 9.738, 100.000, 0.0, 5, greedy=93.75;ga=6.25, False, 2367.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 12, 6.48, 2827.0, 2827.0, 2876.0, 2876.0, 3216.0, 0.072, 100.000, 1.0, -1, greedy=100, True, 3316.0, 0.018, 100.000, 2.0, -1, greedy=100, True, 3167.0, 3.748, 100.000, 1.0, -1, greedy=100, True, 2876.0, 4.685, 100.000, 1.0, -1, greedy=100, True, 3131.0, 3.992, 100.000, 2.0, -1, greedy=100, True, 3163.0, 3.220, 100.000, 2.0, -1, greedy=100, True, 3190.0, 3.653, 100.000, 2.0, -1, greedy=100, True, 3425.0, 3.913, 100.000, 0.0, -1, greedy=100, False, 3079.0, 3.849, 100.000, 1.0, -1, greedy=100, True, 2878.0, 4.071, 100.000, 1.0, -1, greedy=100, True, 2876.0, 4.772, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.817, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.667, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.647, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.786, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.639, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.714, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.801, 100.000, 1.0, 0, greedy=100, True, 2876.0, 5.916, 100.000, 1.0, 0, greedy=100, True, 2876.0, 5.691, 100.000, 1.0, 0, greedy=100, True, 2876.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 16, 7.882352941176471, 4499.0, 4558.0, 4773.0, 4813.0, 5360.0, 0.041, 100.000, 0.0, -1, greedy=100, False, 5234.0, 0.029, 100.000, 0.0, -1, greedy=100, False, 5055.0, 2.825, 100.000, 0.0, -1, greedy=100, False, 4813.0, 2.667, 100.000, 1.0, -1, greedy=100, True, 5185.0, 2.863, 100.000, 0.0, -1, greedy=100, False, 5151.0, 2.627, 100.000, 1.0, -1, greedy=100, True, 5134.0, 3.012, 100.000, 1.0, -1, greedy=100, True, 5053.0, 2.945, 100.000, 1.0, -1, greedy=100, True, 4882.0, 3.178, 100.000, 2.0, -1, greedy=100, True, 4813.0, 3.192, 100.000, 1.0, -1, greedy=100, True, 4788.0, 11.043, 100.000, 1.0, 20, greedy=100.0, True, 4813.0, 11.211, 100.000, 1.0, 0, greedy=100, True, 4788.0, 11.657, 100.000, 1.0, 5, greedy=100.0, True, 4813.0, 12.560, 100.000, 1.0, 0, greedy=100, True, 4813.0, 11.306, 100.000, 1.0, 0, greedy=100, True, 4813.0, 12.026, 100.000, 1.0, 0, greedy=100, True, 4773.0, 12.107, 100.000, 1.0, 14, greedy=89.84375;ga=10.15625, True, 4813.0, 12.086, 100.000, 1.0, 0, greedy=100, True, 4813.0, 11.589, 100.000, 1.0, 0, greedy=100, True, 4813.0, 14.082, 100.000, 1.0, 0, greedy=100, True, 4773.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 13, 8.115384615384615, 3165.0, 3165.0, 3298.0, 3298.0, 3489.0, 0.108, 100.000, 0.0, -1, greedy=100, False, 3677.0, 0.056, 100.000, 2.0, -1, greedy=100, True, 3349.0, 5.678, 100.000, 0.0, -1, greedy=100, False, 3298.0, 6.477, 100.000, 1.0, -1, greedy=100, True, 3469.0, 6.301, 100.000, 0.0, -1, greedy=100, False, 3333.0, 7.153, 100.000, 0.0, -1, greedy=100, False, 3307.0, 6.436, 100.000, 0.0, -1, greedy=100, False, 3370.0, 7.445, 100.000, 0.0, -1, greedy=100, False, 3307.0, 7.224, 100.000, 0.0, -1, greedy=100, False, 3307.0, 7.358, 100.000, 0.0, -1, greedy=100, False, 3298.0, 7.280, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.354, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.875, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.866, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.832, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.803, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.607, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.476, 100.000, 1.0, 0, greedy=100, True, 3298.0, 9.441, 100.000, 1.0, 0, greedy=100, True, 3298.0, 9.034, 100.000, 1.0, 0, greedy=100, True, 3298.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 4, 2.272727272727273, 1208.0, 1208.0, 1418.0, 1418.0, 1690.0, 0.038, 100.000, 1.0, -1, greedy=100, True, 1755.0, 0.005, 100.000, 3.0, -1, greedy=100, True, 1621.0, 2.057, 100.000, 3.0, -1, greedy=100, True, 1418.0, 1.955, 100.000, 2.0, -1, greedy=100, True, 1858.0, 2.027, 100.000, 2.0, -1, greedy=100, True, 1516.0, 2.028, 100.000, 4.0, -1, greedy=100, True, 1534.0, 1.988, 100.000, 2.0, -1, greedy=100, True, 1545.0, 2.006, 100.000, 3.0, -1, greedy=100, True, 1418.0, 1.969, 100.000, 2.0, -1, greedy=100, True, 1418.0, 2.023, 100.000, 2.0, -1, greedy=100, True, 1418.0, 2.766, 100.000, 2.0, 0, greedy=100, True, 1418.0, 3.047, 100.000, 2.0, 0, greedy=100, True, 1418.0, 3.464, 100.000, 2.0, 0, greedy=100, True, 1418.0, 3.162, 100.000, 2.0, 0, greedy=100, True, 1418.0, 3.020, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.896, 100.000, 2.0, 0, greedy=100, True, 1418.0, 3.034, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.872, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.922, 100.000, 2.0, 0, greedy=100, True, 1418.0, 3.008, 100.000, 2.0, 0, greedy=100, True, 1418.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 6, 1.5945945945945945, 1926.0, 1926.0, 5617.0, 5861.0, 6484.0, 0.119, 100.000, 1.0, -1, greedy=100, True, 6337.0, 0.060, 100.000, 1.0, -1, greedy=100, True, 5951.0, 2.979, 100.000, 4.0, -1, greedy=100, True, 5904.0, 3.416, 100.000, 3.0, -1, greedy=100, True, 6177.0, 3.416, 100.000, 4.0, -1, greedy=100, True, 6021.0, 3.044, 100.000, 4.0, -1, greedy=100, True, 6108.0, 3.217, 100.000, 2.0, -1, greedy=100, True, 6042.0, 3.242, 100.000, 2.0, -1, greedy=100, True, 5861.0, 3.668, 100.000, 2.0, -1, greedy=100, True, 6027.0, 3.972, 100.000, 3.0, -1, greedy=100, True, 5768.0, 13.251, 100.000, 3.0, 8, greedy=100.0, True, 5873.0, 13.254, 100.000, 5.0, 50, greedy=100.0, True, 5784.0, 14.276, 100.000, 3.0, 12, greedy=100.0, True, 5617.0, 14.028, 100.000, 3.0, 16, greedy=98.4375;ga=1.5625, True, 5747.0, 14.377, 100.000, 3.0, 26, greedy=100.0, True, 5750.0, 13.997, 100.000, 3.0, 9, greedy=100.0, True, 5779.0, 13.933, 100.000, 3.0, 5, greedy=100.0, True, 5702.0, 16.092, 100.000, 3.0, 12, greedy=100.0, True, 5651.0, 16.130, 100.000, 4.0, 37, greedy=100.0, True, 5744.0, 15.975, 100.000, 3.0, 7, greedy=100.0, True, 5617.0
