Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, longest_preceding, mean_preceding, LB, UB, greedy_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, greedy_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, greedy_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, greedy_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, greedy_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, greedy_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, greedy_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 4, 1.9, 1228.0, 1255.0, 1462.0, 0.000, 100.000, 2.0, -1, True, greedy=100, 1378.0, 0.003, 100.000, 3.0, -1, True, greedy=100, 1255.0, 0.005, 100.000, 3.0, -1, True, greedy=100, 1436.0, 0.001, 100.000, 2.0, -1, True, greedy=100, 1552.0, 0.003, 100.000, 2.0, -1, True, greedy=100, 1378.0, 0.007, 100.000, 2.0, -1, True, greedy=100, 1264.0, 0.003, 100.000, 2.0, -1, True, greedy=100, 1255.0, 1.031, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.012, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.009, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.172, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.073, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.098, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.127, 100.000, 3.0, 0, True, greedy=100, 1255.0, 0.936, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.119, 100.000, 3.0, 0, True, greedy=100, 1255.0, 1.002, 100.000, 3.0, 0, True, greedy=100, 1255.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 4, 1.5, 1192.0, 1192.0, 1572.0, 0.023, 100.000, 15.0, -1, True, greedy=100, 1330.0, 0.011, 100.000, 17.0, -1, True, greedy=100, 1246.0, 0.014, 100.000, 10.0, -1, True, greedy=100, 1440.0, 0.015, 100.000, 13.0, -1, True, greedy=100, 1219.0, 0.015, 100.000, 17.0, -1, True, greedy=100, 1233.0, 0.007, 100.000, 14.0, -1, True, greedy=100, 1326.0, 0.009, 100.000, 14.0, -1, True, greedy=100, 1192.0, 4.560, 100.000, 12.0, 5, True, greedy=87.5,ga=12.5, 1192.0, 4.423, 100.000, 11.0, 4, True, greedy=100.0, 1192.0, 4.595, 100.000, 12.0, 2, True, greedy=100.0, 1192.0, 4.377, 100.000, 15.0, 3, True, greedy=87.5,ga=12.5, 1192.0, 4.699, 100.000, 15.0, 1, True, greedy=100.0, 1192.0, 4.843, 100.000, 15.0, 3, True, greedy=100.0, 1219.0, 4.816, 100.000, 17.0, 0, True, greedy=100, 1192.0, 4.881, 100.000, 12.0, 2, True, greedy=100.0, 1192.0, 4.505, 100.000, 15.0, 2, True, greedy=100.0, 1192.0, 4.871, 100.000, 15.0, 1, True, greedy=100.0, 1192.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 26, 13.837837837837839, 7133.0, 7332.0, 7680.0, 0.033, 100.000, 1.0, -1, True, greedy=100, 7750.0, 0.023, 100.000, 0.0, -1, False, greedy=100, 7332.0, 0.020, 100.000, 0.0, -1, False, greedy=100, 7654.0, 0.012, 100.000, 0.0, -1, False, greedy=100, 7632.0, 0.017, 100.000, 0.0, -1, False, greedy=100, 7682.0, 0.012, 100.000, 0.0, -1, False, greedy=100, 8116.0, 0.023, 100.000, 0.0, -1, False, greedy=100, 7332.0, 6.011, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.519, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.331, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.793, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.772, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.860, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.870, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.621, 100.000, 0.0, 0, False, greedy=100, 7332.0, 7.202, 100.000, 0.0, 0, False, greedy=100, 7332.0, 6.979, 100.000, 0.0, 0, False, greedy=100, 7332.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 20, 10.366666666666667, 5445.0, 6558.0, 6909.0, 0.032, 100.000, 1.0, -1, True, greedy=100, 6854.0, 0.013, 100.000, 1.0, -1, True, greedy=100, 6867.0, 0.014, 100.000, 0.0, -1, False, greedy=100, 7052.0, 0.020, 100.000, 1.0, -1, True, greedy=100, 7034.0, 0.025, 100.000, 0.0, -1, False, greedy=100, 7024.0, 0.025, 100.000, 0.0, -1, False, greedy=100, 6989.0, 0.013, 100.000, 0.0, -1, False, greedy=100, 6681.0, 7.097, 100.000, 1.0, 4, True, greedy=75.0,ga=25.0, 6730.0, 7.129, 100.000, 1.0, 2, True, greedy=100.0, 6716.0, 7.279, 100.000, 0.0, 26, False, greedy=86.71875,ga=13.28125, 6698.0, 7.640, 100.000, 0.0, 10, False, greedy=96.875,ga=3.125, 6644.0, 6.976, 100.000, 0.0, 45, False, greedy=88.8671875,ga=11.1328125, 6558.0, 7.154, 100.000, 0.0, 40, False, greedy=87.6953125,ga=12.3046875, 6670.0, 7.371, 100.000, 1.0, 10, True, greedy=97.65625,ga=2.34375, 6597.0, 7.570, 100.000, 1.0, 11, True, greedy=100.0, 6784.0, 7.187, 100.000, 1.0, 3, True, greedy=87.5,ga=12.5, 6626.0, 7.847, 100.000, 0.0, 20, False, greedy=97.65625,ga=2.34375, 6558.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 13, 8.115384615384615, 3165.0, 3307.0, 3489.0, 0.138, 100.000, 0.0, -1, False, greedy=100, 3344.0, 0.048, 100.000, 0.0, -1, False, greedy=100, 3323.0, 0.040, 100.000, 0.0, -1, False, greedy=100, 3503.0, 0.058, 100.000, 0.0, -1, False, greedy=100, 3333.0, 0.033, 100.000, 0.0, -1, False, greedy=100, 3307.0, 0.058, 100.000, 0.0, -1, False, greedy=100, 3370.0, 0.060, 100.000, 0.0, -1, False, greedy=100, 3307.0, 6.199, 100.000, 0.0, 0, False, greedy=100, 3307.0, 6.058, 100.000, 0.0, 0, False, greedy=100, 3307.0, 5.906, 100.000, 0.0, 0, False, greedy=100, 3307.0, 6.085, 100.000, 0.0, 0, False, greedy=100, 3307.0, 6.140, 100.000, 0.0, 0, False, greedy=100, 3307.0, 5.821, 100.000, 0.0, 0, False, greedy=100, 3307.0, 6.266, 100.000, 0.0, 0, False, greedy=100, 3307.0, 5.972, 100.000, 0.0, 0, False, greedy=100, 3307.0, 6.485, 100.000, 0.0, 0, False, greedy=100, 3307.0, 6.374, 100.000, 0.0, 0, False, greedy=100, 3307.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.001, 0, 0, False, 6, 1.606060606060606, 1967.0, 2429.0, 3341.0, 0.076, 100.000, 0.0, -1, False, greedy=100, 3063.0, 0.013, 100.000, 0.0, -1, False, greedy=100, 2429.0, 0.020, 100.000, 0.0, -1, False, greedy=100, 3019.0, 0.023, 100.000, 0.0, -1, False, greedy=100, 2813.0, 0.031, 100.000, 0.0, -1, False, greedy=100, 2777.0, 0.026, 100.000, 2.0, -1, True, greedy=100, 2645.0, 0.020, 100.000, 3.0, -1, True, greedy=100, 2429.0, 7.547, 100.000, 0.0, 0, False, greedy=100, 2429.0, 7.558, 100.000, 0.0, 0, False, greedy=100, 2429.0, 7.547, 100.000, 0.0, 0, False, greedy=100, 2429.0, 8.218, 100.000, 0.0, 0, False, greedy=100, 2429.0, 7.931, 100.000, 0.0, 0, False, greedy=100, 2429.0, 7.925, 100.000, 0.0, 0, False, greedy=100, 2429.0, 8.075, 100.000, 0.0, 0, False, greedy=100, 2429.0, 7.751, 100.000, 0.0, 0, False, greedy=100, 2429.0, 8.756, 100.000, 0.0, 0, False, greedy=100, 2429.0, 8.711, 100.000, 0.0, 0, False, greedy=100, 2429.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 12, 6.48, 2827.0, 2876.0, 3216.0, 0.054, 100.000, 1.0, -1, True, greedy=100, 3216.0, 0.041, 100.000, 1.0, -1, True, greedy=100, 2876.0, 0.041, 100.000, 1.0, -1, True, greedy=100, 3131.0, 0.020, 100.000, 2.0, -1, True, greedy=100, 3163.0, 0.021, 100.000, 2.0, -1, True, greedy=100, 3190.0, 0.020, 100.000, 2.0, -1, True, greedy=100, 3425.0, 0.023, 100.000, 0.0, -1, False, greedy=100, 2876.0, 3.782, 100.000, 1.0, 0, True, greedy=100, 2876.0, 3.541, 100.000, 1.0, 0, True, greedy=100, 2876.0, 4.149, 100.000, 1.0, 0, True, greedy=100, 2876.0, 4.126, 100.000, 1.0, 0, True, greedy=100, 2876.0, 4.422, 100.000, 1.0, 0, True, greedy=100, 2876.0, 3.959, 100.000, 1.0, 0, True, greedy=100, 2876.0, 4.214, 100.000, 1.0, 0, True, greedy=100, 2876.0, 4.179, 100.000, 1.0, 0, True, greedy=100, 2876.0, 3.854, 100.000, 1.0, 0, True, greedy=100, 2876.0, 3.909, 100.000, 1.0, 0, True, greedy=100, 2876.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 4, 2.272727272727273, 1208.0, 1505.0, 1690.0, 0.038, 100.000, 1.0, -1, True, greedy=100, 1679.0, 0.015, 100.000, 3.0, -1, True, greedy=100, 1523.0, 0.020, 100.000, 3.0, -1, True, greedy=100, 1858.0, 0.021, 100.000, 2.0, -1, True, greedy=100, 1645.0, 0.018, 100.000, 0.0, -1, False, greedy=100, 1546.0, 0.014, 100.000, 2.0, -1, True, greedy=100, 1545.0, 0.026, 100.000, 3.0, -1, True, greedy=100, 1523.0, 2.432, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.165, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.111, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.037, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.208, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.179, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.222, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.320, 100.000, 3.0, 0, True, greedy=100, 1523.0, 2.180, 100.000, 3.0, 0, True, greedy=100, 1505.0, 2.211, 100.000, 2.0, 7, True, greedy=87.5,ga=12.5, 1505.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 16, 7.882352941176471, 4499.0, 4788.0, 5360.0, 0.069, 100.000, 0.0, -1, False, greedy=100, 5050.0, 0.020, 100.000, 0.0, -1, False, greedy=100, 4822.0, 0.037, 100.000, 1.0, -1, True, greedy=100, 5297.0, 0.022, 100.000, 0.0, -1, False, greedy=100, 5193.0, 0.018, 100.000, 0.0, -1, False, greedy=100, 5240.0, 0.018, 100.000, 0.0, -1, False, greedy=100, 5066.0, 0.033, 100.000, 1.0, -1, True, greedy=100, 4813.0, 9.619, 100.000, 1.0, 2, True, greedy=100.0, 4813.0, 9.653, 100.000, 1.0, 46, True, greedy=93.359375,ga=6.640625, 4813.0, 10.108, 100.000, 1.0, 7, True, greedy=84.375,ga=15.625, 4813.0, 10.045, 100.000, 1.0, 11, True, greedy=100.0, 4788.0, 10.045, 100.000, 1.0, 20, True, greedy=96.484375,ga=3.515625, 4813.0, 10.499, 100.000, 1.0, 5, True, greedy=100.0, 4813.0, 10.690, 100.000, 1.0, 8, True, greedy=100.0, 4813.0, 10.751, 100.000, 1.0, 6, True, greedy=100.0, 4788.0, 10.756, 100.000, 1.0, 31, True, greedy=98.9013671875,ga=1.0986328125, 4813.0, 10.621, 100.000, 1.0, 47, True, greedy=96.875,ga=3.125, 4788.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 6, 1.5945945945945945, 1926.0, 5479.0, 6484.0, 0.122, 100.000, 1.0, -1, True, greedy=100, 6159.0, 0.020, 100.000, 0.0, -1, False, greedy=100, 5955.0, 0.022, 100.000, 1.0, -1, True, greedy=100, 6341.0, 0.052, 100.000, 2.0, -1, True, greedy=100, 6299.0, 0.032, 100.000, 3.0, -1, True, greedy=100, 6625.0, 0.042, 100.000, 3.0, -1, True, greedy=100, 6210.0, 0.048, 100.000, 2.0, -1, True, greedy=100, 5479.0, 10.971, 100.000, 3.0, 17, True, greedy=85.986328125,ga=14.013671875, 5872.0, 11.021, 100.000, 2.0, 46, True, greedy=100.0, 5835.0, 11.760, 100.000, 1.0, 13, True, greedy=94.140625,ga=5.859375, 5817.0, 12.104, 100.000, 1.0, 14, True, greedy=100.0, 5782.0, 11.825, 100.000, 2.0, 29, True, greedy=96.98486328125,ga=3.01513671875, 5685.0, 11.924, 100.000, 2.0, 38, True, greedy=100.0, 5813.0, 12.473, 100.000, 2.0, 7, True, greedy=81.25,ga=18.75, 5799.0, 11.840, 100.000, 1.0, 44, True, greedy=100.0, 5648.0, 12.312, 100.000, 1.0, 20, True, greedy=89.9658203125,ga=10.0341796875, 5614.0, 12.372, 100.000, 2.0, 12, True, greedy=97.0703125,ga=2.9296875, 5479.0
