Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, longest_preceding, mean_preceding, LB, LB_res, UB, operations, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, loaded_shortest_modes, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, modes, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, precedence_forward, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, precedence_backwards, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, precedence_sons, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, precedence_all, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, precedence_time_forward, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, greedy_all_preferences, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, origin, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 4, 1.9, 1228.0, 1228.0, 1255.0, 1462.0, 0.006, 100.000, 2.0, -1, greedy=100, True, 1478.0, 0.002, 100.000, 1.0, -1, greedy=100, True, 1377.0, 0.319, 100.000, 3.0, -1, greedy=100, True, 1255.0, 0.296, 100.000, 3.0, -1, greedy=100, True, 1436.0, 0.384, 100.000, 2.0, -1, greedy=100, True, 1552.0, 0.373, 100.000, 1.0, -1, greedy=100, True, 1378.0, 0.351, 100.000, 3.0, -1, greedy=100, True, 1255.0, 0.355, 100.000, 3.0, -1, greedy=100, True, 1317.0, 0.361, 100.000, 1.0, -1, greedy=100, True, 1255.0, 1.289, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.123, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.186, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.195, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.205, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.207, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.049, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.120, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.223, 100.000, 3.0, 0, greedy=100, True, 1255.0, 1.312, 100.000, 3.0, 0, greedy=100, True, 1255.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 4, 1.5, 1192.0, 1192.0, 1192.0, 1572.0, 0.027, 100.000, 15.0, -1, greedy=100, True, 1442.0, 0.010, 100.000, 14.0, -1, greedy=100, True, 1220.0, 1.271, 100.000, 14.0, -1, greedy=100, True, 1192.0, 1.104, 100.000, 11.0, -1, greedy=100, True, 1413.0, 1.294, 100.000, 13.0, -1, greedy=100, True, 1192.0, 1.275, 100.000, 15.0, -1, greedy=100, True, 1233.0, 1.172, 100.000, 18.0, -1, greedy=100, True, 1326.0, 1.203, 100.000, 14.0, -1, greedy=100, True, 1214.0, 1.271, 100.000, 14.0, -1, greedy=100, True, 1192.0, 4.849, 100.000, 11.0, 0, greedy=100, True, 1192.0, 6.440, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.504, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.371, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.410, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.515, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.545, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.456, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.620, 100.000, 11.0, 0, greedy=100, True, 1192.0, 5.035, 100.000, 11.0, 0, greedy=100, True, 1192.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 26, 13.837837837837839, 7133.0, 7228.0, 7332.0, 7680.0, 0.020, 100.000, 1.0, -1, greedy=100, True, 7997.0, 0.017, 100.000, 0.0, -1, greedy=100, False, 7654.0, 1.804, 100.000, 0.0, -1, greedy=100, False, 7332.0, 2.227, 100.000, 0.0, -1, greedy=100, False, 7654.0, 1.949, 100.000, 0.0, -1, greedy=100, False, 7621.0, 2.062, 100.000, 0.0, -1, greedy=100, False, 7682.0, 2.474, 100.000, 0.0, -1, greedy=100, False, 8116.0, 2.143, 100.000, 0.0, -1, greedy=100, False, 7411.0, 2.850, 100.000, 0.0, -1, greedy=100, False, 7332.0, 7.920, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.757, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.859, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.965, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.540, 100.000, 0.0, 0, greedy=100, False, 7332.0, 7.855, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.400, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.567, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.515, 100.000, 0.0, 0, greedy=100, False, 7332.0, 8.190, 100.000, 0.0, 0, greedy=100, False, 7332.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 20, 10.366666666666667, 5445.0, 5476.0, 6432.0, 6909.0, 0.023, 100.000, 1.0, -1, greedy=100, True, 7068.0, 0.008, 100.000, 1.0, -1, greedy=100, True, 6731.0, 1.846, 100.000, 1.0, -1, greedy=100, True, 6672.0, 1.944, 100.000, 0.0, -1, greedy=100, False, 7052.0, 1.981, 100.000, 1.0, -1, greedy=100, True, 6916.0, 2.205, 100.000, 0.0, -1, greedy=100, False, 6927.0, 2.161, 100.000, 2.0, -1, greedy=100, True, 6989.0, 1.954, 100.000, 0.0, -1, greedy=100, False, 6646.0, 2.516, 100.000, 0.0, -1, greedy=100, False, 6528.0, 8.660, 100.000, 0.0, 22, greedy=98.2421875;ga=1.7578125, False, 6541.0, 8.190, 100.000, 1.0, 10, greedy=89.453125;ga=10.546875, True, 6527.0, 8.325, 100.000, 0.0, 45, greedy=99.79248046875;ga=0.20751953125, False, 6527.0, 8.310, 100.000, 0.0, 36, greedy=100.0, False, 6542.0, 8.380, 100.000, 1.0, 4, greedy=100.0, True, 6596.0, 8.540, 100.000, 0.0, 29, greedy=100.0, False, 6432.0, 8.879, 100.000, 1.0, 32, greedy=100.0, True, 6481.0, 8.945, 100.000, 1.0, 18, greedy=83.0078125;ga=16.9921875, True, 6492.0, 9.204, 100.000, 1.0, 33, greedy=100.0, True, 6481.0, 8.878, 100.000, 1.0, 11, greedy=89.453125;ga=10.546875, True, 6432.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 6, 1.606060606060606, 1967.0, 1967.0, 2398.0, 3341.0, 0.059, 100.000, 0.0, -1, greedy=100, False, 4543.0, 0.030, 100.000, 0.0, -1, greedy=100, False, 2815.0, 2.306, 100.000, 1.0, -1, greedy=100, True, 2441.0, 2.753, 100.000, 0.0, -1, greedy=100, False, 2720.0, 2.706, 100.000, 0.0, -1, greedy=100, False, 2769.0, 2.654, 100.000, 1.0, -1, greedy=100, True, 2654.0, 2.560, 100.000, 1.0, -1, greedy=100, True, 2545.0, 3.421, 100.000, 2.0, -1, greedy=100, True, 2398.0, 3.442, 100.000, 3.0, -1, greedy=100, True, 2398.0, 9.410, 100.000, 3.0, 0, greedy=100, True, 2398.0, 9.190, 100.000, 3.0, 0, greedy=100, True, 2398.0, 8.810, 100.000, 3.0, 0, greedy=100, True, 2398.0, 9.060, 100.000, 3.0, 0, greedy=100, True, 2398.0, 9.563, 100.000, 3.0, 0, greedy=100, True, 2398.0, 9.968, 100.000, 3.0, 0, greedy=100, True, 2398.0, 9.850, 100.000, 3.0, 0, greedy=100, True, 2398.0, 9.750, 100.000, 3.0, 0, greedy=100, True, 2398.0, 9.910, 100.000, 3.0, 0, greedy=100, True, 2398.0, 10.030, 100.000, 3.0, 0, greedy=100, True, 2398.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 12, 6.48, 2827.0, 2827.0, 2839.0, 3216.0, 0.063, 100.000, 1.0, -1, greedy=100, True, 3316.0, 0.017, 100.000, 2.0, -1, greedy=100, True, 3108.0, 4.049, 100.000, 2.0, -1, greedy=100, True, 2876.0, 3.911, 100.000, 1.0, -1, greedy=100, True, 3131.0, 4.064, 100.000, 2.0, -1, greedy=100, True, 3163.0, 3.911, 100.000, 2.0, -1, greedy=100, True, 3159.0, 4.128, 100.000, 0.0, -1, greedy=100, False, 3425.0, 3.807, 100.000, 0.0, -1, greedy=100, False, 3110.0, 3.936, 100.000, 1.0, -1, greedy=100, True, 2876.0, 4.421, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.563, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.431, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.543, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.695, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.565, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.123, 100.000, 1.0, 0, greedy=100, True, 2839.0, 4.345, 100.000, 2.0, 6, greedy=100.0, True, 2876.0, 4.130, 100.000, 1.0, 0, greedy=100, True, 2876.0, 4.425, 100.000, 1.0, 0, greedy=100, True, 2839.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 13, 8.115384615384615, 3165.0, 3165.0, 3298.0, 3489.0, 0.130, 100.000, 0.0, -1, greedy=100, False, 3677.0, 0.070, 100.000, 2.0, -1, greedy=100, True, 3344.0, 7.479, 100.000, 0.0, -1, greedy=100, False, 3298.0, 6.886, 100.000, 1.0, -1, greedy=100, True, 3469.0, 6.526, 100.000, 0.0, -1, greedy=100, False, 3333.0, 6.510, 100.000, 0.0, -1, greedy=100, False, 3307.0, 7.055, 100.000, 0.0, -1, greedy=100, False, 3370.0, 7.199, 100.000, 0.0, -1, greedy=100, False, 3307.0, 6.204, 100.000, 0.0, -1, greedy=100, False, 3298.0, 7.742, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.920, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.810, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.720, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.643, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.610, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.805, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.046, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.321, 100.000, 1.0, 0, greedy=100, True, 3298.0, 7.539, 100.000, 1.0, 0, greedy=100, True, 3298.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 16, 7.882352941176471, 4499.0, 4558.0, 4773.0, 5360.0, 0.049, 100.000, 0.0, -1, greedy=100, False, 5234.0, 0.043, 100.000, 0.0, -1, greedy=100, False, 5033.0, 3.132, 100.000, 0.0, -1, greedy=100, False, 4813.0, 3.086, 100.000, 1.0, -1, greedy=100, True, 5198.0, 3.317, 100.000, 0.0, -1, greedy=100, False, 5151.0, 2.686, 100.000, 1.0, -1, greedy=100, True, 5134.0, 4.148, 100.000, 1.0, -1, greedy=100, True, 5053.0, 4.187, 100.000, 1.0, -1, greedy=100, True, 4905.0, 3.245, 100.000, 0.0, -1, greedy=100, False, 4788.0, 11.576, 100.000, 1.0, 40, greedy=100.0, True, 4813.0, 11.530, 100.000, 1.0, 0, greedy=100, True, 4813.0, 11.286, 100.000, 1.0, 0, greedy=100, True, 4813.0, 11.630, 100.000, 1.0, 0, greedy=100, True, 4788.0, 12.512, 100.000, 2.0, 41, greedy=100.0, True, 4788.0, 12.081, 100.000, 1.0, 38, greedy=100.0, True, 4813.0, 12.230, 100.000, 1.0, 0, greedy=100, True, 4813.0, 12.150, 100.000, 1.0, 0, greedy=100, True, 4788.0, 11.310, 100.000, 1.0, 14, greedy=100.0, True, 4773.0, 11.541, 100.000, 1.0, 27, greedy=100.0, True, 4773.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 4, 2.272727272727273, 1208.0, 1208.0, 1418.0, 1690.0, 0.050, 100.000, 1.0, -1, greedy=100, True, 1755.0, 0.009, 100.000, 3.0, -1, greedy=100, True, 1574.0, 2.018, 100.000, 4.0, -1, greedy=100, True, 1418.0, 1.888, 100.000, 2.0, -1, greedy=100, True, 1858.0, 1.901, 100.000, 2.0, -1, greedy=100, True, 1516.0, 1.761, 100.000, 4.0, -1, greedy=100, True, 1534.0, 1.871, 100.000, 2.0, -1, greedy=100, True, 1545.0, 2.000, 100.000, 3.0, -1, greedy=100, True, 1418.0, 1.743, 100.000, 2.0, -1, greedy=100, True, 1418.0, 2.475, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.520, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.715, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.675, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.765, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.665, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.570, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.350, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.280, 100.000, 2.0, 0, greedy=100, True, 1418.0, 2.489, 100.000, 2.0, 0, greedy=100, True, 1418.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 6, 1.5945945945945945, 1926.0, 1926.0, 5620.0, 6484.0, 0.129, 100.000, 1.0, -1, greedy=100, True, 6337.0, 0.047, 100.000, 1.0, -1, greedy=100, True, 5895.0, 3.206, 100.000, 2.0, -1, greedy=100, True, 5962.0, 3.639, 100.000, 3.0, -1, greedy=100, True, 6231.0, 4.000, 100.000, 2.0, -1, greedy=100, True, 6070.0, 3.979, 100.000, 1.0, -1, greedy=100, True, 6037.0, 4.709, 100.000, 3.0, -1, greedy=100, True, 5949.0, 4.032, 100.000, 2.0, -1, greedy=100, True, 5820.0, 4.187, 100.000, 2.0, -1, greedy=100, True, 5820.0, 12.840, 100.000, 2.0, 0, greedy=100, True, 5820.0, 13.340, 100.000, 2.0, 0, greedy=100, True, 5620.0, 14.000, 100.000, 3.0, 18, greedy=100.0, True, 5820.0, 14.520, 100.000, 2.0, 0, greedy=100, True, 5820.0, 14.320, 100.000, 2.0, 0, greedy=100, True, 5820.0, 14.384, 100.000, 2.0, 0, greedy=100, True, 5820.0, 13.810, 100.000, 2.0, 0, greedy=100, True, 5820.0, 13.840, 100.000, 2.0, 0, greedy=100, True, 5820.0, 14.002, 100.000, 2.0, 0, greedy=100, True, 5820.0, 13.615, 100.000, 2.0, 0, greedy=100, True, 5620.0
