Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 1228.0, 1565.0, 1570.0, 0.385, 100.000, 0.0, 41, False, 1627.0, 0.397, 100.000, 0.0, 17, False, 1641.0, 0.443, 100.000, 0.0, 16, False, 1731.0, 0.458, 100.000, 0.0, 6, False, 1578.0, 0.472, 99.875, 0.0, 5, False, 1664.0, 0.426, 100.000, 0.0, 3, False, 1627.0, 0.410, 100.000, 0.0, 13, False, 1565.0, 0.382, 100.000, 0.0, 8, False, 1660.0, 0.428, 100.000, 0.0, 9, False, 1571.0, 0.424, 100.000, 0.0, 22, False, 1565.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 1192.0, 1942.0, 2107.0, 1.007, 100.000, 0.0, 22, False, 2147.0, 1.138, 100.000, 0.0, 9, False, 2080.0, 1.065, 100.000, 0.0, 38, False, 2179.0, 1.090, 100.000, 0.0, 17, False, 2011.0, 1.072, 100.000, 0.0, 47, False, 2038.0, 1.076, 100.000, 0.0, 7, False, 1942.0, 1.021, 100.000, 0.0, 13, False, 1981.0, 1.033, 100.000, 0.0, 6, False, 2246.0, 1.024, 100.000, 0.0, 8, False, 2009.0, 0.981, 100.000, 0.0, 26, False, 1942.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 1967.0, 3646.0, 3855.0, 2.132, 100.000, 0.0, 5, False, 3768.0, 2.116, 100.000, 0.0, 39, False, 3856.0, 2.064, 100.000, 0.0, 27, False, 3902.0, 2.154, 100.000, 0.0, 2, False, 3646.0, 1.992, 100.000, 0.0, 34, False, 3969.0, 2.095, 100.000, 0.0, 11, False, 3750.0, 2.047, 100.000, 0.0, 37, False, 3678.0, 1.758, 100.000, 0.0, 39, False, 4213.0, 1.847, 100.000, 0.0, 26, False, 3955.0, 1.769, 100.000, 0.0, 10, False, 3646.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 5445.0, 6858.0, 7066.0, 2.115, 100.000, 0.0, 27, False, 7147.0, 2.439, 99.375, 0.0, 43, False, 7130.0, 2.236, 100.000, 0.0, 25, False, 6858.0, 2.220, 100.000, 0.0, 8, False, 7046.0, 2.221, 100.000, 0.0, 11, False, 7050.0, 2.324, 100.000, 0.0, 35, False, 7063.0, 2.235, 99.875, 0.0, 9, False, 7227.0, 2.103, 99.875, 0.0, 7, False, 7180.0, 1.995, 100.000, 0.0, 19, False, 7150.0, 2.500, 100.000, 0.0, 35, False, 6858.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 3165.0, 3955.0, 4170.0, 1.882, 100.000, 0.0, 9, False, 4189.0, 1.799, 100.000, 0.0, 15, False, 4152.0, 1.819, 100.000, 0.0, 11, False, 4345.0, 1.495, 100.000, 0.0, 14, False, 4029.0, 1.794, 100.000, 0.0, 26, False, 4258.0, 1.694, 99.875, 0.0, 8, False, 4256.0, 1.791, 100.000, 0.0, 16, False, 3961.0, 1.381, 100.000, 0.0, 18, False, 4133.0, 1.635, 100.000, 0.0, 18, False, 3955.0, 1.909, 100.000, 0.0, 26, False, 3955.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 1926.0, 7401.0, 7492.0, 2.715, 100.000, 0.0, 22, False, 7668.0, 2.877, 100.000, 0.0, 14, False, 7401.0, 2.425, 100.000, 0.0, 21, False, 7543.0, 2.552, 100.000, 0.0, 43, False, 7969.0, 2.685, 100.000, 0.0, 21, False, 7901.0, 2.550, 100.000, 0.0, 8, False, 7662.0, 2.381, 100.000, 0.0, 11, False, 7539.0, 2.287, 100.000, 0.0, 9, False, 7421.0, 2.878, 100.000, 0.0, 12, False, 7749.0, 2.974, 100.000, 0.0, 23, False, 7401.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 2827.0, 4025.0, 4152.0, 1.516, 100.000, 0.0, 6, False, 4397.0, 1.700, 100.000, 0.0, 31, False, 4248.0, 1.414, 100.000, 0.0, 15, False, 4231.0, 1.491, 100.000, 0.0, 19, False, 4204.0, 1.437, 100.000, 0.0, 23, False, 4197.0, 1.317, 100.000, 0.0, 14, False, 4025.0, 1.562, 100.000, 0.0, 13, False, 4459.0, 2.020, 100.000, 0.0, 17, False, 4250.0, 1.562, 100.000, 0.0, 17, False, 4276.0, 1.617, 100.000, 0.0, 11, False, 4025.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 7133.0, 7769.0, 7922.0, 2.779, 100.000, 0.0, 24, False, 8157.0, 2.762, 100.000, 0.0, 4, False, 8247.0, 2.829, 100.000, 0.0, 29, False, 8190.0, 3.066, 100.000, 0.0, 23, False, 8013.0, 2.906, 100.000, 0.0, 13, False, 8063.0, 2.076, 100.000, 0.0, 3, False, 8387.0, 2.370, 100.000, 0.0, 5, False, 8047.0, 2.958, 100.000, 0.0, 10, False, 7769.0, 3.358, 100.000, 0.0, 18, False, 8348.0, 3.439, 100.000, 0.0, 13, False, 7769.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 4499.0, 5642.0, 5853.0, 2.567, 100.000, 0.0, 12, False, 5700.0, 2.933, 100.000, 0.0, 49, False, 5856.0, 2.718, 100.000, 0.0, 35, False, 5909.0, 2.939, 100.000, 0.0, 13, False, 5888.0, 2.833, 100.000, 0.0, 17, False, 5696.0, 2.872, 100.000, 0.0, 18, False, 5847.0, 2.684, 100.000, 0.0, 8, False, 5801.0, 2.841, 100.000, 0.0, 26, False, 5967.0, 3.394, 100.000, 0.0, 45, False, 5642.0, 3.098, 100.000, 0.0, 17, False, 5642.0
16003, 39, 7, 2.436, 2.611, 0.667, 295.495, 0.639, 85.125, 1.205, 1.196, 3.000, 0.992, 3.000, 1812, 0.000, 0, 0, False, 1774.0, 3890.0, 4230.0, 3.108, 100.000, 0.0, 33, False, 4226.0, 3.014, 100.000, 0.0, 3, False, 4065.0, 2.949, 100.000, 0.0, 43, False, 4284.0, 2.991, 100.000, 0.0, 48, False, 3890.0, 2.883, 100.000, 0.0, 0, False, 4284.0, 2.639, 100.000, 0.0, 48, False, 4128.0, 2.651, 100.000, 0.0, 22, False, 4267.0, 3.215, 100.000, 0.0, 38, False, 4165.0, 3.325, 100.000, 0.0, 43, False, 3929.0, 3.474, 100.000, 0.0, 32, False, 3890.0
