Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.001, 0, 0, False, 7133.0, 7661.0, 8316.0, 4.445, 51.220, 0.0, 5, False, 8231.0, 7.104, 43.455, 0.0, 9, False, 8080.0, 4.205, 50.000, 0.0, 13, False, 8295.0, 8.973, 44.837, 0.0, 32, False, 7661.0, 7.333, 47.269, 0.0, 37, False, 8271.0, 4.129, 51.786, 0.0, 9, False, 8330.0, 3.987, 49.180, 0.0, 6, False, 8055.0, 9.992, 47.651, 0.0, 36, False, 7766.0, 5.382, 46.429, 0.0, 20, False, 8086.0, 10.016, 46.615, 0.0, 5, False, 7661.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.001, 0, 0, False, 1192.0, inf, inf, 14415.702, 0.000, 0, 0, False, inf, 14897.327, 0.000, 0, 0, False, inf, 15723.455, 0.000, 0, 0, False, inf, 17192.201, 0.000, 0, 0, False, inf, 16011.559, 0.000, 0, 0, False, inf, 17709.484, 0.000, 0, 0, False, inf, 17138.564, 0.000, 0, 0, False, inf, 16638.296, 0.000, 0, 0, False, inf, 16149.719, 0.000, 0, 0, False, inf, 16468.166, 0.000, 0, 0, False, inf
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 2827.0, 4010.0, 4287.0, 7.045, 25.941, 0.0, 27, False, 4135.0, 6.057, 24.507, 0.0, 26, False, 4333.0, 5.687, 25.332, 0.0, 14, False, 4177.0, 4.789, 26.913, 0.0, 14, False, 4096.0, 4.894, 27.698, 0.0, 18, False, 4016.0, 2.869, 30.332, 0.0, 14, False, 4307.0, 4.300, 26.845, 0.0, 25, False, 4054.0, 8.171, 25.714, 0.0, 24, False, 4115.0, 6.221, 25.884, 0.5, 14, True, 4010.0, 5.819, 24.701, 0.5, 33, True, 4010.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.001, 0, 0, False, 3165.0, 3804.0, 3847.0, 12.504, 8.084, 0.0, 26, False, 4051.0, 23.226, 9.379, 0.0, 25, False, 3990.0, 47.689, 8.809, 0.0, 29, False, 4162.0, 13.135, 9.426, 0.0, 7, False, 3902.0, 7.048, 8.729, 0.0, 20, False, 3804.0, 28.463, 9.555, 0.0, 23, False, 3987.0, 41.055, 8.233, 0.0, 46, False, 4029.0, 27.726, 9.098, 0.0, 16, False, 4131.0, 34.236, 8.808, 0.0, 9, False, 3869.0, 27.124, 9.224, 0.0, 9, False, 3804.0
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 1228.0, 1474.0, 1474.0, 38.984, 1.076, 1.5, 45, True, 1558.0, 43.393, 1.092, 2.0, 15, True, 1511.0, 40.989, 1.164, 1.0, 27, True, 1636.0, 44.454, 1.085, 1.5, 19, True, 1548.0, 42.509, 1.126, 1.0, 30, True, 1569.0, 39.540, 1.186, 1.5, 48, True, 1635.0, 40.484, 1.096, 1.0, 30, True, 1589.0, 39.677, 1.171, 0.0, 41, False, 1528.0, 41.772, 1.146, 1.0, 0, True, 1575.0, 41.588, 1.118, 1.0, 24, True, 1474.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 5445.0, inf, inf, 35626.267, 0.000, 0, 0, False, inf, 38523.622, 0.000, 0, 0, False, inf, 40228.919, 0.000, 0, 0, False, inf, 39706.414, 0.000, 0, 0, False, inf, 38774.466, 0.010, 0, 0, False, inf, 37845.092, 0.000, 0, 0, False, inf, 39452.886, 0.000, 0, 0, False, inf, 39453.440, 0.000, 0, 0, False, inf, 39189.573, 0.000, 0, 0, False, inf, 40368.683, 0.000, 0, 0, False, inf
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 1926.0, inf, inf, 40022.825, 0.000, 0, 0, False, inf, 42199.153, 0.000, 0, 0, False, inf, 45069.010, 0.000, 0, 0, False, inf, 43270.932, 0.000, 0, 0, False, inf, 42752.048, 0.000, 0, 0, False, inf, 42756.299, 0.000, 0, 0, False, inf, 43138.411, 0.000, 0, 0, False, inf, 43085.609, 0.000, 0, 0, False, inf, 44920.984, 0.000, 0, 0, False, inf, 44603.732, 0.000, 0, 0, False, inf
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 1208.0, inf, inf, 9767.100, 0.000, 0, 0, False, inf, 9223.065, 0.000, 0, 0, False, inf, 10492.671, 0.000, 0, 0, False, inf, 9354.415, 0.000, 0, 0, False, inf, 9835.268, 0.000, 0, 0, False, inf, 10290.982, 0.000, 0, 0, False, inf, 9699.591, 0.000, 0, 0, False, inf, 8941.912, 0.000, 0, 0, False, inf, 9146.781, 0.000, 0, 0, False, inf, 9274.466, 0.000, 0, 0, False, inf
16010, 26, 6, 7.500, 2.082, 0.654, 297.497, 0.272, 172.362, 1.808, 0.402, 2.000, 0.222, 1.000, 3478, 0.000, 0, 0, False, 632.0, inf, inf, 8321.123, 0.040, 0, 0, False, inf, 10910.458, 0.030, 0, 0, False, inf, 34482.157, 0.000, 0, 0, False, inf, 11320.139, 0.030, 0, 0, False, inf, 11329.760, 0.030, 0, 0, False, inf, 35572.104, 0.010, 0, 0, False, inf, 16923.160, 0.020, 0, 0, False, inf, 11069.415, 0.030, 0, 0, False, inf, 7166.039, 0.050, 0, 0, False, inf, 10760.613, 0.030, 0, 0, False, inf
16013, 19, 6, 6.789, 4.380, 2.789, 303.845, 0.879, 42.761, 2.737, 0.562, 4.000, 0.205, 2.000, 15852, 0.000, 0, 0, False, 3045.0, inf, inf, 26673.229, 0.000, 0, 0, False, inf, 25460.688, 0.000, 0, 0, False, inf, 25919.806, 0.000, 0, 0, False, inf, 26224.296, 0.010, 0, 0, False, inf, 27267.918, 0.000, 0, 0, False, inf, 25100.700, 0.010, 0, 0, False, inf, 25366.516, 0.000, 0, 0, False, inf, 24942.559, 0.000, 0, 0, False, inf, 24635.554, 0.000, 0, 0, False, inf, 27528.052, 0.010, 0, 0, False, inf
