Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 1228.0, 1395.0, 1792.0, 0.201, 100.000, 0, 4, False, 1492.0, 0.203, 100.000, 0, 38, False, 1489.0, 0.163, 100.000, 0, 27, False, 1395.0, 0.200, 100.000, 0, 17, False, 1558.0, 0.183, 100.000, 0, 35, False, 1540.0, 0.218, 100.000, 0, 19, False, 1533.0, 0.187, 100.000, 0, 14, False, 1800.0, 0.175, 100.000, 0, 47, False, 1540.0, 0.226, 100.000, 0, 32, False, 1511.0, 0.166, 100.000, 0, 24, False, 1395.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 1192.0, 1773.0, 1773.0, 0.518, 100.000, 0, 49, False, 1774.0, 0.465, 100.000, 0, 32, False, 1876.0, 0.459, 100.000, 0, 38, False, 1847.0, 0.530, 100.000, 0, 14, False, 1946.0, 0.582, 100.000, 0, 49, False, 1904.0, 0.468, 100.000, 0, 24, False, 1782.0, 0.509, 100.000, 0, 28, False, 1970.0, 0.508, 100.000, 0, 12, False, 1923.0, 0.463, 100.000, 0, 47, False, 2089.0, 0.463, 100.000, 0, 28, False, 1773.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 5445.0, 6757.0, 6892.0, 0.651, 100.000, 0, 41, False, 6893.0, 0.592, 100.000, 0, 48, False, 6851.0, 0.564, 100.000, 0, 41, False, 6800.0, 0.713, 100.000, 0, 44, False, 6757.0, 0.627, 100.000, 0, 27, False, 6900.0, 0.559, 100.000, 0, 49, False, 6841.0, 0.568, 100.000, 0, 32, False, 6885.0, 0.508, 100.000, 0, 20, False, 6844.0, 0.556, 100.000, 0, 40, False, 6793.0, 0.595, 100.000, 0, 39, False, 6757.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 1926.0, 6597.0, 6800.0, 0.675, 100.000, 0, 44, False, 6927.0, 0.756, 100.000, 0, 41, False, 6741.0, 0.740, 100.000, 0, 50, False, 6597.0, 0.654, 100.000, 0, 47, False, 6911.0, 0.650, 100.000, 0, 48, False, 7355.0, 0.685, 100.000, 0, 42, False, 6931.0, 0.751, 100.000, 0, 45, False, 6716.0, 0.703, 100.000, 0, 34, False, 7130.0, 0.666, 100.000, 0, 38, False, 7060.0, 0.747, 100.000, 0, 33, False, 6597.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 7133.0, 7740.0, 8019.0, 0.775, 100.000, 0, 35, False, 8216.0, 0.705, 100.000, 0, 27, False, 7740.0, 0.743, 100.000, 0, 19, False, 8184.0, 0.703, 100.000, 0, 50, False, 8203.0, 0.645, 100.000, 0, 38, False, 7808.0, 0.737, 100.000, 0, 39, False, 8158.0, 0.805, 100.000, 0, 20, False, 8059.0, 0.725, 100.000, 0, 39, False, 8190.0, 0.745, 100.000, 0, 19, False, 8060.0, 0.696, 100.000, 0, 47, False, 7740.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 1967.0, 3039.0, 3365.0, 0.951, 100.000, 0, 15, False, 3612.0, 1.032, 100.000, 0, 17, False, 3156.0, 1.061, 100.000, 0, 41, False, 3039.0, 0.991, 100.000, 0, 41, False, 3535.0, 0.945, 100.000, 0, 47, False, 3137.0, 0.897, 100.000, 0, 21, False, 3608.0, 0.957, 100.000, 0, 32, False, 3262.0, 0.949, 100.000, 0, 36, False, 3329.0, 1.044, 100.000, 0, 34, False, 3145.0, 0.877, 100.000, 0, 32, False, 3039.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 2827.0, 3704.0, 4014.0, 0.437, 100.000, 0, 49, False, 3709.0, 0.515, 100.000, 0, 47, False, 4142.0, 0.479, 100.000, 0, 41, False, 3957.0, 0.485, 100.000, 0, 48, False, 3917.0, 0.521, 100.000, 0, 31, False, 3831.0, 0.458, 100.000, 0, 48, False, 3768.0, 0.562, 100.000, 0, 40, False, 3704.0, 0.501, 100.000, 0, 48, False, 3716.0, 0.489, 100.000, 0, 50, False, 3837.0, 0.491, 100.000, 0, 32, False, 3704.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 1208.0, 1674.0, 1699.0, 0.270, 100.000, 0, 38, False, 2019.0, 0.273, 100.000, 0, 31, False, 1992.0, 0.291, 100.000, 0, 48, False, 1860.0, 0.317, 100.000, 0, 47, False, 1842.0, 0.359, 100.000, 0, 50, False, 1674.0, 0.312, 100.000, 0, 36, False, 1907.0, 0.261, 100.000, 0, 48, False, 1968.0, 0.264, 100.000, 0, 44, False, 2003.0, 0.326, 100.000, 0, 43, False, 1951.0, 0.315, 100.000, 0, 45, False, 1674.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 4499.0, 5250.0, 5496.0, 1.226, 100.000, 0, 11, False, 5325.0, 1.251, 100.000, 0, 48, False, 5250.0, 1.273, 100.000, 0, 38, False, 5423.0, 1.114, 100.000, 0, 24, False, 5343.0, 1.285, 100.000, 0, 41, False, 5423.0, 1.117, 100.000, 0, 30, False, 5392.0, 1.381, 100.000, 0, 43, False, 5502.0, 1.104, 100.000, 0, 36, False, 5319.0, 1.127, 100.000, 0, 21, False, 5544.0, 1.218, 100.000, 0, 17, False, 5250.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 3165.0, 3904.0, 3912.0, 0.920, 100.000, 0, 50, False, 4151.0, 1.137, 100.000, 0, 22, False, 3930.0, 0.991, 100.000, 0, 34, False, 4255.0, 1.044, 100.000, 0, 43, False, 3904.0, 1.008, 100.000, 0, 46, False, 4073.0, 1.105, 100.000, 0, 47, False, 4074.0, 1.012, 100.000, 0, 25, False, 3935.0, 1.014, 100.000, 0, 34, False, 4121.0, 1.119, 100.000, 0, 40, False, 4036.0, 1.035, 100.000, 0, 45, False, 3904.0
