Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 1228.0, 1323.0, 1429.0, 1.166, 100.000, 5.0, 10, True, 1366.0, 1.102, 100.000, 2.0, 40, True, 1410.0, 1.110, 100.000, 6.0, 17, True, 1354.0, 1.181, 100.000, 4.0, 25, True, 1366.0, 1.078, 100.000, 2.0, 32, True, 1452.0, 1.060, 100.000, 4.0, 15, True, 1323.0, 0.985, 100.000, 1.0, 13, True, 1431.0, 1.083, 100.000, 3.0, 12, True, 1366.0, 1.081, 100.000, 2.0, 41, True, 1332.0, 1.090, 100.000, 4.0, 24, True, 1323.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 1192.0, 1255.0, 1326.0, 4.301, 100.000, 17.0, 8, True, 1271.0, 4.266, 100.000, 19.0, 23, True, 1271.0, 3.909, 100.000, 14.0, 14, True, 1374.0, 4.052, 100.000, 16.0, 20, True, 1289.0, 3.981, 100.000, 18.0, 19, True, 1288.0, 4.395, 100.000, 16.0, 2, True, 1255.0, 4.340, 100.000, 17.0, 18, True, 1255.0, 4.504, 100.000, 13.0, 6, True, 1284.0, 4.381, 100.000, 18.0, 17, True, 1291.0, 4.355, 100.000, 12.0, 6, True, 1255.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 7133.0, 7730.0, 8082.0, 6.383, 100.000, 1.0, 47, True, 7879.0, 5.822, 100.000, 1.0, 38, True, 7829.0, 6.025, 100.000, 1.0, 43, True, 7758.0, 6.282, 100.000, 0.0, 49, False, 7866.0, 6.038, 100.000, 0.0, 50, False, 7895.0, 6.129, 100.000, 0.0, 45, False, 7943.0, 6.319, 100.000, 1.0, 50, True, 7896.0, 6.175, 100.000, 0.0, 49, False, 7730.0, 6.703, 100.000, 0.0, 48, False, 7912.0, 6.711, 100.000, 1.0, 40, True, 7730.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 5445.0, 6555.0, 6882.0, 6.908, 100.000, 0.0, 43, False, 6711.0, 6.523, 100.000, 0.0, 36, False, 6555.0, 6.595, 100.000, 0.0, 40, False, 7016.0, 6.976, 100.000, 0.0, 38, False, 6834.0, 7.150, 100.000, 0.0, 47, False, 6738.0, 7.129, 100.000, 0.0, 48, False, 6788.0, 7.384, 100.000, 0.0, 47, False, 6695.0, 7.373, 100.000, 0.0, 26, False, 6731.0, 7.211, 100.000, 0.0, 24, False, 6820.0, 6.995, 100.000, 0.0, 40, False, 6555.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 1967.0, 2697.0, 3250.0, 7.310, 100.000, 0.0, 25, False, 2948.0, 7.367, 100.000, 1.0, 50, True, 3053.0, 6.940, 100.000, 2.0, 47, True, 2874.0, 7.710, 100.000, 0.0, 16, False, 3229.0, 7.701, 100.000, 0.0, 19, False, 2941.0, 7.418, 100.000, 1.0, 48, True, 2968.0, 7.295, 100.000, 1.0, 15, True, 3075.0, 7.766, 100.000, 0.0, 38, False, 2697.0, 7.310, 100.000, 2.0, 16, True, 2929.0, 7.774, 100.000, 0.0, 24, False, 2697.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 3165.0, 3778.0, 4010.0, 5.492, 100.000, 0.0, 50, False, 3902.0, 5.760, 100.000, 1.0, 20, True, 3901.0, 6.151, 100.000, 1.0, 49, True, 3966.0, 6.184, 100.000, 1.0, 50, True, 3778.0, 6.910, 100.000, 0.0, 43, False, 3956.0, 7.369, 100.000, 0.0, 49, False, 3853.0, 7.095, 100.000, 3.0, 48, True, 3886.0, 6.422, 100.000, 0.0, 44, False, 4096.0, 6.438, 100.000, 0.0, 47, False, 3816.0, 6.412, 100.000, 0.0, 27, False, 3778.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 2827.0, 3317.0, 3765.0, 3.438, 100.000, 1.0, 47, True, 3844.0, 3.590, 100.000, 1.0, 40, True, 3699.0, 3.879, 100.000, 1.0, 43, True, 3413.0, 3.888, 100.000, 1.0, 40, True, 3637.0, 3.426, 100.000, 3.0, 50, True, 3317.0, 3.822, 100.000, 2.0, 35, True, 3647.0, 3.970, 100.000, 1.0, 47, True, 3538.0, 3.731, 100.000, 1.0, 49, True, 3638.0, 3.215, 100.000, 1.0, 39, True, 3650.0, 3.899, 100.000, 1.0, 28, True, 3317.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 4499.0, 5049.0, 5149.0, 10.081, 100.000, 1.0, 41, True, 5214.0, 8.914, 100.000, 1.0, 40, True, 5332.0, 9.518, 100.000, 3.0, 38, True, 5182.0, 9.635, 100.000, 1.0, 47, True, 5173.0, 10.300, 100.000, 2.0, 34, True, 5244.0, 9.904, 100.000, 1.0, 28, True, 5049.0, 9.945, 100.000, 2.0, 50, True, 5285.0, 9.609, 100.000, 0.0, 35, False, 5152.0, 9.345, 100.000, 0.0, 50, False, 5434.0, 8.893, 100.000, 0.0, 25, False, 5049.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 1208.0, 1607.0, 1713.0, 2.061, 100.000, 2.0, 12, True, 1608.0, 2.101, 100.000, 4.0, 46, True, 1885.0, 2.180, 100.000, 1.0, 16, True, 1716.0, 2.236, 100.000, 3.0, 50, True, 1734.0, 2.061, 100.000, 3.0, 44, True, 1720.0, 2.305, 100.000, 5.0, 34, True, 1780.0, 2.188, 100.000, 2.0, 26, True, 1607.0, 1.913, 100.000, 2.0, 43, True, 1776.0, 2.191, 100.000, 2.0, 47, True, 1716.0, 2.158, 100.000, 3.0, 28, True, 1607.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 1926.0, 6132.0, 6419.0, 10.161, 100.000, 2.0, 33, True, 6187.0, 9.470, 100.000, 1.0, 28, True, 6381.0, 10.357, 100.000, 6.0, 49, True, 6669.0, 10.689, 100.000, 2.0, 47, True, 6200.0, 10.707, 100.000, 3.0, 41, True, 6132.0, 11.059, 100.000, 3.0, 41, True, 6465.0, 10.569, 100.000, 2.0, 50, True, 6498.0, 10.807, 100.000, 3.0, 38, True, 6146.0, 10.305, 100.000, 2.0, 48, True, 6612.0, 10.569, 100.000, 4.0, 28, True, 6132.0
