Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 1228.0, 1321.0, 1474.0, 1.076, 100.000, 4.0, 26, True, 1401.0, 1.214, 100.000, 4.0, 9, True, 1344.0, 1.046, 100.000, 4.0, 14, True, 1398.0, 1.035, 100.000, 7.0, 46, True, 1458.0, 1.065, 100.000, 5.0, 11, True, 1321.0, 1.014, 100.000, 2.0, 41, True, 1440.0, 1.122, 100.000, 6.0, 4, True, 1410.0, 1.043, 100.000, 4.0, 48, True, 1424.0, 1.083, 100.000, 5.0, 34, True, 1458.0, 1.062, 100.000, 5.0, 11, True, 1321.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 1192.0, 1224.0, 1259.0, 4.368, 100.000, 16.0, 29, True, 1266.0, 4.132, 100.000, 20.0, 50, True, 1374.0, 4.464, 100.000, 20.0, 42, True, 1259.0, 4.333, 100.000, 13.0, 9, True, 1224.0, 5.008, 100.000, 15.0, 49, True, 1240.0, 4.815, 100.000, 15.0, 29, True, 1276.0, 5.458, 100.000, 14.0, 11, True, 1228.0, 4.863, 100.000, 17.0, 11, True, 1370.0, 5.386, 100.000, 15.0, 18, True, 1271.0, 5.444, 100.000, 17.0, 41, True, 1224.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 7133.0, 7622.0, 7919.0, 6.659, 100.000, 0.0, 23, False, 7952.0, 6.297, 100.000, 1.0, 44, True, 8054.0, 6.144, 100.000, 0.0, 47, False, 7735.0, 7.475, 100.000, 0.0, 42, False, 7853.0, 8.310, 100.000, 1.0, 46, True, 7622.0, 7.768, 100.000, 1.0, 42, True, 7863.0, 7.997, 100.000, 0.0, 20, False, 8217.0, 8.248, 100.000, 1.0, 18, True, 7946.0, 7.228, 100.000, 0.0, 44, False, 7742.0, 7.542, 100.000, 0.0, 48, False, 7622.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 5445.0, 6588.0, 6818.0, 6.815, 100.000, 2.0, 40, True, 6821.0, 6.481, 100.000, 0.0, 26, False, 6588.0, 6.971, 100.000, 1.0, 23, True, 7102.0, 7.825, 100.000, 0.0, 45, False, 6777.0, 8.181, 100.000, 1.0, 16, True, 6912.0, 7.893, 100.000, 1.0, 41, True, 6883.0, 7.959, 100.000, 1.0, 37, True, 6732.0, 8.528, 100.000, 0.0, 49, False, 6862.0, 7.903, 100.000, 2.0, 30, True, 6724.0, 7.904, 100.000, 0.0, 41, False, 6588.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.001, 0, 0, False, 3165.0, 3719.0, 3956.0, 5.747, 100.000, 0.0, 44, False, 3719.0, 7.032, 100.000, 0.0, 44, False, 3901.0, 7.715, 100.000, 2.0, 49, True, 4027.0, 7.577, 100.000, 0.0, 50, False, 3833.0, 8.251, 100.000, 1.0, 43, True, 3896.0, 8.301, 100.000, 1.0, 29, True, 3721.0, 6.779, 100.000, 0.0, 25, False, 4159.0, 7.011, 100.000, 1.0, 44, True, 3919.0, 7.267, 100.000, 1.0, 34, True, 4048.0, 7.162, 100.000, 1.0, 44, True, 3719.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 1967.0, 2783.0, 3325.0, 7.270, 100.000, 1.0, 8, True, 2987.0, 6.911, 100.000, 0.0, 28, False, 3034.0, 8.655, 100.000, 0.0, 26, True, 3083.0, 8.557, 100.000, 0.0, 42, False, 2886.0, 9.017, 100.000, 1.0, 25, True, 3141.0, 9.230, 100.000, 1.0, 47, True, 2783.0, 9.487, 100.000, 1.0, 50, True, 3111.0, 8.462, 100.000, 2.0, 44, True, 3075.0, 9.156, 100.000, 2.0, 14, True, 3243.0, 9.604, 100.000, 0.0, 26, False, 2783.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.001, 0, 0, False, 2827.0, 3494.0, 3819.0, 4.259, 100.000, 1.0, 43, True, 3494.0, 4.563, 100.000, 1.0, 34, True, 3866.0, 4.325, 100.000, 3.0, 44, True, 3669.0, 4.443, 100.000, 3.0, 43, True, 3693.0, 4.293, 100.000, 2.0, 22, True, 3893.0, 4.233, 100.000, 1.0, 47, True, 3806.0, 4.374, 100.000, 3.0, 21, True, 3882.0, 4.136, 100.000, 0.0, 47, False, 3579.0, 4.195, 100.000, 1.0, 48, True, 3806.0, 3.973, 100.000, 2.0, 42, True, 3494.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 4499.0, 5046.0, 5390.0, 9.258, 100.000, 0.0, 44, False, 5398.0, 9.046, 100.000, 0.0, 44, False, 5051.0, 11.262, 100.000, 0.0, 34, False, 5322.0, 11.123, 100.000, 1.0, 34, True, 5347.0, 11.327, 100.000, 0.0, 48, False, 5466.0, 11.060, 100.000, 0.0, 13, False, 5424.0, 11.598, 100.000, 1.0, 42, True, 5046.0, 11.522, 100.000, 1.0, 35, True, 5323.0, 11.084, 100.000, 0.0, 42, False, 5353.0, 11.582, 100.000, 1.0, 40, True, 5046.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.001, 0, 0, False, 1208.0, 1595.0, 1928.0, 2.383, 100.000, 0.0, 37, False, 1672.0, 2.130, 100.000, 1.0, 26, True, 1738.0, 2.233, 100.000, 2.0, 44, True, 1889.0, 2.242, 100.000, 2.0, 49, True, 1976.0, 2.615, 100.000, 3.0, 31, True, 1759.0, 2.485, 100.000, 2.0, 11, True, 1664.0, 2.353, 100.000, 2.0, 50, True, 1595.0, 2.433, 100.000, 3.0, 37, True, 1709.0, 2.264, 100.000, 4.0, 32, True, 1634.0, 2.529, 100.000, 2.0, 46, True, 1595.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 1926.0, 5793.0, 6707.0, 10.060, 100.000, 4.0, 21, True, 6227.0, 10.523, 100.000, 3.0, 47, True, 6203.0, 12.961, 100.000, 3.0, 50, True, 6512.0, 11.943, 100.000, 3.0, 41, True, 6230.0, 12.221, 100.000, 5.0, 45, True, 5793.0, 12.466, 100.000, 3.0, 39, True, 6172.0, 12.544, 100.000, 3.0, 44, True, 6536.0, 12.262, 100.000, 3.0, 38, True, 6387.0, 12.514, 100.000, 5.0, 38, True, 6402.0, 12.315, 100.000, 2.0, 50, True, 5793.0
