Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 1228.0, 1332.0, 1382.0, 1.402, 100.000, 2.0, 7, True, 1332.0, 1.394, 100.000, 2.0, 39, True, 1442.0, 1.171, 100.000, 3.0, 25, True, 1493.0, 1.287, 100.000, 4.0, 32, True, 1398.0, 1.402, 100.000, 4.0, 24, True, 1344.0, 1.328, 100.000, 4.0, 10, True, 1431.0, 1.237, 100.000, 4.0, 4, True, 1358.0, 1.295, 100.000, 3.0, 7, True, 1382.0, 1.393, 100.000, 4.0, 3, True, 1441.0, 1.306, 100.000, 5.0, 18, True, 1332.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 1192.0, 1202.0, 1202.0, 4.760, 100.000, 16.0, 19, True, 1231.0, 4.742, 100.000, 14.0, 38, True, 1271.0, 4.997, 100.000, 16.0, 3, True, 1258.0, 5.091, 100.000, 15.0, 8, True, 1263.0, 5.716, 100.000, 14.0, 5, True, 1288.0, 5.689, 100.000, 17.0, 46, True, 1221.0, 5.295, 100.000, 19.0, 41, True, 1225.0, 5.464, 100.000, 13.0, 24, True, 1293.0, 5.601, 100.000, 12.0, 25, True, 1290.0, 5.632, 100.000, 15.0, 10, True, 1202.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 7133.0, 7787.0, 7883.0, 6.880, 100.000, 0.0, 40, False, 7818.0, 7.239, 100.000, 0.0, 26, False, 7787.0, 7.370, 100.000, 1.0, 48, True, 7931.0, 7.988, 100.000, 0.0, 9, False, 7980.0, 7.781, 100.000, 1.0, 41, True, 7956.0, 7.971, 100.000, 2.0, 44, True, 7880.0, 8.297, 100.000, 1.0, 48, True, 7970.0, 7.705, 100.000, 0.0, 36, False, 8102.0, 7.638, 100.000, 0.0, 43, False, 7909.0, 7.629, 100.000, 2.0, 40, True, 7787.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 5445.0, 6697.0, 6819.0, 7.535, 100.000, 0.0, 47, False, 6844.0, 7.656, 100.000, 0.0, 50, False, 6918.0, 8.366, 100.000, 0.0, 44, False, 6801.0, 8.159, 100.000, 1.0, 48, True, 6703.0, 8.413, 100.000, 0.0, 10, False, 6864.0, 8.387, 100.000, 2.0, 18, True, 7030.0, 8.640, 100.000, 1.0, 27, True, 6697.0, 8.050, 100.000, 1.0, 31, True, 6721.0, 8.700, 100.000, 0.0, 22, False, 6712.0, 8.492, 100.000, 0.0, 34, False, 6697.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 1967.0, 2732.0, 2732.0, 8.267, 100.000, 0.0, 16, False, 3012.0, 9.263, 100.000, 3.0, 30, True, 3021.0, 9.681, 100.000, 1.0, 23, True, 3115.0, 8.991, 100.000, 1.0, 45, True, 3032.0, 8.948, 100.000, 1.0, 34, True, 3136.0, 9.920, 100.000, 2.0, 42, True, 3071.0, 9.725, 100.000, 2.0, 50, True, 2764.0, 9.684, 100.000, 2.0, 48, True, 3151.0, 9.227, 100.000, 1.0, 20, True, 3038.0, 9.331, 100.000, 2.0, 6, True, 2732.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 3165.0, 3837.0, 3837.0, 7.192, 100.000, 0.0, 37, False, 4076.0, 7.566, 100.000, 0.0, 32, False, 3869.0, 8.084, 100.000, 0.0, 33, False, 3838.0, 8.118, 100.000, 0.0, 38, False, 4058.0, 8.184, 100.000, 1.0, 31, True, 4069.0, 7.250, 100.000, 1.0, 31, True, 3883.0, 8.118, 100.000, 0.0, 49, False, 3912.0, 7.771, 100.000, 1.0, 46, True, 3902.0, 8.423, 100.000, 1.0, 40, True, 4066.0, 7.975, 100.000, 0.0, 43, False, 3837.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 2827.0, 3630.0, 3937.0, 4.319, 100.000, 1.0, 34, True, 3897.0, 4.621, 100.000, 1.0, 48, True, 3879.0, 4.044, 100.000, 2.0, 44, True, 4163.0, 4.095, 100.000, 2.0, 21, True, 3959.0, 4.067, 100.000, 0.0, 40, False, 3825.0, 4.341, 100.000, 0.0, 46, False, 3744.0, 4.440, 100.000, 1.0, 49, True, 3800.0, 4.610, 100.000, 1.0, 49, True, 3748.0, 4.508, 100.000, 1.0, 39, True, 3630.0, 4.208, 100.000, 1.0, 50, True, 3630.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 4499.0, 5047.0, 5137.0, 10.325, 100.000, 0.0, 50, False, 5175.0, 11.378, 100.000, 0.0, 31, False, 5188.0, 12.101, 100.000, 1.0, 30, True, 5543.0, 11.419, 100.000, 1.0, 22, True, 5047.0, 11.479, 100.000, 0.0, 49, False, 5176.0, 11.715, 100.000, 0.0, 32, False, 5170.0, 12.471, 100.000, 1.0, 26, True, 5174.0, 11.616, 100.000, 0.0, 14, False, 5343.0, 11.472, 100.000, 0.0, 32, False, 5371.0, 12.512, 100.000, 0.0, 20, False, 5047.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 1926.0, 6114.0, 6133.0, 10.984, 100.000, 3.0, 44, True, 6171.0, 11.672, 100.000, 1.0, 42, True, 6609.0, 11.870, 100.000, 2.0, 17, True, 6337.0, 12.318, 100.000, 3.0, 40, True, 6297.0, 12.579, 100.000, 5.0, 24, True, 6230.0, 12.024, 100.000, 1.0, 45, True, 6161.0, 12.368, 100.000, 4.0, 30, True, 6114.0, 11.882, 100.000, 4.0, 44, True, 6221.0, 12.473, 100.000, 1.0, 42, True, 6180.0, 12.520, 100.000, 4.0, 31, True, 6114.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 1208.0, 1645.0, 1645.0, 2.562, 100.000, 4.0, 48, True, 1786.0, 2.672, 100.000, 3.0, 26, True, 1773.0, 2.684, 100.000, 2.0, 39, True, 1880.0, 2.697, 100.000, 3.0, 18, True, 1788.0, 2.568, 100.000, 3.0, 47, True, 1827.0, 2.694, 100.000, 3.0, 26, True, 1771.0, 2.574, 100.000, 2.0, 25, True, 1875.0, 2.966, 100.000, 2.0, 47, True, 1726.0, 2.721, 100.000, 3.0, 31, True, 1698.0, 2.598, 100.000, 2.0, 36, True, 1645.0
