Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.000, 0, 0, False, 1228.0, 1353.0, 1581.0, 0.469, 100.000, 3.0, 35, True, 1512.0, 0.476, 100.000, 1.0, 35, True, 1402.0, 0.387, 100.000, 1.0, 39, True, 1442.0, 0.437, 100.000, 1.0, 22, True, 1424.0, 0.416, 100.000, 1.0, 32, True, 1452.0, 0.459, 100.000, 4.0, 29, True, 1353.0, 0.465, 100.000, 2.0, 13, True, 1355.0, 0.432, 100.000, 1.0, 16, True, 1440.0, 0.438, 100.000, 1.0, 18, True, 1394.0, 0.456, 100.000, 2.0, 15, True, 1353.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 1192.0, 1259.0, 1320.0, 1.558, 100.000, 18.0, 33, True, 1320.0, 1.496, 100.000, 14.0, 22, True, 1346.0, 1.447, 100.000, 11.0, 49, True, 1432.0, 1.467, 100.000, 17.0, 18, True, 1308.0, 1.525, 100.000, 14.0, 26, True, 1264.0, 1.567, 100.000, 18.0, 16, True, 1423.0, 1.579, 100.000, 13.0, 24, True, 1259.0, 1.473, 100.000, 15.0, 11, True, 1319.0, 1.593, 100.000, 13.0, 23, True, 1355.0, 1.519, 100.000, 15.0, 23, True, 1259.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 5445.0, 6671.0, 6677.0, 2.218, 100.000, 0, 46, False, 6671.0, 2.107, 100.000, 0, 37, False, 6753.0, 2.237, 100.000, 0, 50, False, 6771.0, 2.158, 100.000, 0, 35, False, 6776.0, 2.198, 100.000, 0, 49, False, 6689.0, 2.197, 100.000, 0, 32, False, 6855.0, 2.281, 100.000, 0, 43, False, 6907.0, 2.050, 100.000, 0, 27, False, 6904.0, 2.407, 100.000, 0, 26, False, 6831.0, 2.310, 100.000, 0, 37, False, 6671.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 7133.0, 7730.0, 7795.0, 2.201, 100.000, 0, 50, False, 7816.0, 2.323, 100.000, 1.0, 30, True, 8012.0, 2.381, 100.000, 0, 46, False, 7954.0, 2.101, 100.000, 0, 46, False, 7809.0, 2.202, 100.000, 0, 44, False, 7757.0, 2.318, 100.000, 0, 48, False, 7730.0, 2.355, 100.000, 0, 47, False, 7948.0, 2.325, 100.000, 0, 25, False, 7891.0, 2.544, 100.000, 0, 49, False, 8052.0, 2.424, 100.000, 0, 47, False, 7730.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 1967.0, 3065.0, 3325.0, 2.760, 100.000, 0.0, 26, False, 3261.0, 2.819, 100.000, 0, 48, False, 3324.0, 2.953, 100.000, 1.0, 20, True, 3065.0, 2.915, 100.000, 1.0, 34, True, 3343.0, 2.857, 100.000, 0.0, 47, False, 3129.0, 2.973, 100.000, 0.0, 22, False, 3224.0, 3.119, 100.000, 0.0, 33, False, 3081.0, 2.993, 100.000, 0.0, 11, False, 3431.0, 3.306, 100.000, 1.0, 32, True, 3163.0, 3.087, 100.000, 2.0, 37, True, 3065.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 2827.0, 3645.0, 3841.0, 1.312, 100.000, 0, 49, False, 3865.0, 1.536, 100.000, 0, 45, False, 3777.0, 1.459, 100.000, 0, 41, False, 3953.0, 1.414, 100.000, 1.0, 21, True, 3915.0, 1.351, 100.000, 1.0, 43, True, 3776.0, 1.579, 100.000, 1.0, 44, True, 3952.0, 1.428, 100.000, 0.0, 50, False, 3645.0, 1.368, 100.000, 1.0, 50, True, 3830.0, 1.494, 100.000, 0, 44, False, 3971.0, 1.464, 100.000, 0, 47, False, 3645.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 3165.0, 3884.0, 4330.0, 2.574, 100.000, 1.0, 41, True, 4057.0, 2.303, 100.000, 0, 50, False, 4135.0, 2.448, 100.000, 0, 30, False, 3984.0, 2.687, 100.000, 1.0, 33, True, 4223.0, 2.297, 100.000, 1.0, 11, True, 4076.0, 2.695, 100.000, 2.0, 31, True, 3944.0, 2.755, 100.000, 0, 50, False, 3884.0, 2.767, 100.000, 0, 44, False, 3927.0, 2.606, 100.000, 0, 48, False, 4035.0, 2.809, 100.000, 0, 38, False, 3884.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 1926.0, 6155.0, 6968.0, 3.185, 100.000, 3.0, 27, True, 6762.0, 3.396, 100.000, 2.0, 44, True, 6155.0, 3.305, 100.000, 2.0, 40, True, 6739.0, 3.147, 100.000, 2.0, 37, True, 6645.0, 3.319, 100.000, 2.0, 24, True, 7043.0, 3.533, 100.000, 1.0, 49, True, 6841.0, 3.547, 100.000, 2.0, 48, True, 6705.0, 3.506, 100.000, 5.0, 32, True, 6611.0, 3.554, 100.000, 2.0, 41, True, 6454.0, 3.740, 100.000, 3.0, 40, True, 6155.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 4499.0, 5188.0, 5838.0, 3.446, 100.000, 0.0, 26, False, 5364.0, 3.529, 100.000, 0.0, 41, False, 5791.0, 3.628, 100.000, 1.0, 15, True, 5226.0, 3.423, 100.000, 0, 42, False, 5307.0, 3.411, 100.000, 0.0, 15, False, 5188.0, 3.887, 100.000, 0, 39, False, 5597.0, 3.849, 100.000, 0, 30, False, 5390.0, 3.856, 100.000, 1.0, 40, True, 5405.0, 3.908, 100.000, 0, 12, False, 5445.0, 3.677, 100.000, 0, 37, False, 5188.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 1208.0, 1711.0, 2092.0, 1.008, 100.000, 1.0, 7, True, 1885.0, 0.847, 100.000, 2.0, 24, True, 1854.0, 0.782, 100.000, 2.0, 19, True, 1711.0, 0.882, 100.000, 1.0, 17, True, 2034.0, 0.865, 100.000, 0, 10, False, 1841.0, 0.915, 100.000, 4.0, 17, True, 1948.0, 0.973, 100.000, 4.0, 18, True, 1871.0, 0.908, 100.000, 0.0, 45, False, 1832.0, 0.829, 100.000, 0.0, 24, False, 1783.0, 0.881, 100.000, 3.0, 24, True, 1711.0
