Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, greedy_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, -1, 0.000, 0, 0, False, 4499.0, 4885.0, 5616.0, 0.028, 100.000, 0.0, -1, False, 5360.0, 0.044, 100.000, 0.0, -1, False, 4885.0, 0.020, 100.000, 0.0, -1, False, 5466.0, 0.020, 100.000, 0.0, -1, False, 5193.0, 0.015, 100.000, 0.0, -1, False, 5596.0, 0.030, 100.000, 0.0, -1, False, 4885.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, -1, 0.000, 0, 0, False, 7133.0, 7609.0, 8027.0, 0.010, 100.000, 0.0, -1, False, 7680.0, 0.034, 100.000, 1.0, -1, True, 7609.0, 0.016, 100.000, 0.0, -1, False, 7654.0, 0.020, 100.000, 0.0, -1, False, 7747.0, 0.010, 100.000, 1.0, -1, True, 7666.0, 0.020, 100.000, 0.0, -1, False, 7609.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, -1, 0.000, 0, 0, False, 1967.0, 2665.0, 3318.0, 0.020, 100.000, 0.0, -1, False, 3341.0, 0.080, 100.000, 0.0, -1, False, 2665.0, 0.020, 100.000, 0.0, -1, False, 3259.0, 0.030, 100.000, 0.0, -1, False, 2866.0, 0.020, 100.000, 0.0, -1, False, 3808.0, 0.020, 100.000, 1.0, -1, True, 2665.0
16003, 39, 7, 2.436, 2.611, 0.667, 295.495, 0.639, 85.125, 1.205, 1.196, 3.000, 0.992, 3.000, -1, 0.000, 0, 0, False, 1774.0, 2232.0, 2680.0, 0.024, 100.000, 13.0, -1, True, 2406.0, 0.224, 100.000, 14.0, -1, True, 2244.0, 0.036, 100.000, 9.0, -1, True, 3024.0, 0.036, 100.000, 4.0, -1, True, 2232.0, 0.034, 100.000, 10.0, -1, True, 2490.0, 0.030, 100.000, 11.0, -1, True, 2232.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, -1, 0.000, 0, 0, False, 5445.0, 6909.0, 6921.0, 0.020, 100.000, 1.0, -1, True, 6909.0, 0.020, 100.000, 1.0, -1, True, 7012.0, 0.020, 100.000, 0.0, -1, False, 7184.0, 0.010, 100.000, 1.0, -1, True, 7211.0, 0.020, 100.000, 0.0, -1, False, 7505.0, 0.020, 100.000, 0.0, -1, False, 6909.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, -1, 0.000, 0, 0, False, 1192.0, 1192.0, 1397.0, 0.009, 100.000, 15.0, -1, True, 1572.0, 0.019, 100.000, 15.0, -1, True, 1192.0, 0.019, 100.000, 16.0, -1, True, 1497.0, 0.010, 100.000, 15.0, -1, True, 1259.0, 0.010, 100.000, 13.0, -1, True, 1419.0, 0.010, 100.000, 17.0, -1, True, 1192.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, -1, 0.000, 0, 0, False, 1926.0, 6284.0, 6284.0, 0.024, 100.000, 1.0, -1, True, 6484.0, 0.094, 100.000, 1.0, -1, True, 6394.0, 0.030, 100.000, 3.0, -1, True, 7014.0, 0.037, 100.000, 0.0, -1, False, 6489.0, 0.026, 100.000, 3.0, -1, True, 6980.0, 0.026, 100.000, 3.0, -1, True, 6284.0
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, -1, 0.000, 0, 0, False, 1228.0, 1378.0, 1378.0, 0.000, 100.000, 3.0, -1, True, 1462.0, 0.010, 100.000, 2.0, -1, True, 1378.0, 0.000, 100.000, 2.0, -1, True, 1665.0, 0.000, 100.000, 3.0, -1, True, 1552.0, 0.010, 100.000, 1.0, -1, True, 1552.0, 0.000, 100.000, 1.0, -1, True, 1378.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, -1, 0.000, 0, 0, False, 3165.0, 3366.0, 3490.0, 0.040, 100.000, 0.0, -1, False, 3489.0, 0.060, 100.000, 0.0, -1, False, 3457.0, 0.040, 100.000, 0.0, -1, False, 3521.0, 0.045, 100.000, 0.0, -1, False, 3366.0, 0.028, 100.000, 0.0, -1, False, 3518.0, 0.041, 100.000, 0.0, -1, False, 3366.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, -1, 0.000, 0, 0, False, 2827.0, 2936.0, 3305.0, 0.020, 100.000, 0.0, -1, False, 3216.0, 0.041, 100.000, 1.0, -1, True, 2936.0, 0.017, 100.000, 0.0, -1, False, 3244.0, 0.024, 100.000, 1.0, -1, True, 3165.0, 0.016, 100.000, 1.0, -1, True, 3346.0, 0.020, 100.000, 1.0, -1, True, 2936.0
16010, 26, 6, 7.500, 2.082, 0.654, 297.497, 0.272, 172.362, 1.808, 0.402, 2.000, 0.222, 1.000, -1, 0.000, 0, 0, False, 632.0, 1550.0, 1739.0, 0.040, 100.000, 1.0, -1, True, 1590.0, 0.192, 100.000, 0.0, -1, False, 1725.0, 0.028, 100.000, 1.0, -1, True, 1904.0, 0.030, 100.000, 0.0, -1, False, 1690.0, 0.030, 100.000, 0.0, -1, False, 1550.0, 0.035, 100.000, 2.0, -1, True, 1550.0
16011, 47, 5, 7.213, 1.525, 0.830, 300.605, 0.390, 171.350, 1.000, 0.000, 2.000, 0.000, 0.000, -1, 0.000, 0, 0, False, 953.0, 2493.0, 2493.0, 0.080, 100.000, 1.0, -1, True, 2526.0, 0.690, 100.000, 3.0, -1, True, 2588.0, 0.075, 100.000, 2.0, -1, True, 2605.0, 0.070, 100.000, 1.0, -1, True, 2555.0, 0.070, 100.000, 4.0, -1, True, 2669.0, 0.075, 100.000, 2.0, -1, True, 2493.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, -1, 0.000, 0, 0, False, 1208.0, 1523.0, 1696.0, 0.010, 100.000, 3.0, -1, True, 1690.0, 0.030, 100.000, 1.0, -1, True, 1523.0, 0.009, 100.000, 3.0, -1, True, 1863.0, 0.010, 100.000, 0.0, -1, False, 1645.0, 0.010, 100.000, 0.0, -1, False, 1570.0, 0.015, 100.000, 2.0, -1, True, 1523.0
16013, 19, 6, 6.789, 4.380, 2.789, 303.845, 0.879, 42.761, 2.737, 0.562, 4.000, 0.205, 2.000, -1, 0.000, 0, 0, False, 3045.0, 3045.0, 3113.0, 0.025, 100.000, 9.0, -1, True, 3157.0, 0.045, 100.000, 8.0, -1, True, 3045.0, 0.025, 100.000, 7.0, -1, True, 3167.0, 0.030, 100.000, 8.0, -1, True, 3075.0, 0.040, 100.000, 9.0, -1, True, 3097.0, 0.035, 100.000, 7.0, -1, True, 3045.0
16014, 48, 7, 7.229, 5.499, 0.938, 298.081, 0.717, 75.965, 2.833, 0.429, 5.000, 0.152, 2.000, -1, 0.000, 0, 0, False, 2150.0, 4415.0, 5125.0, 0.245, 100.000, 18.0, -1, True, 4415.0, 1.178, 100.000, 20.0, -1, True, 4890.0, 0.272, 100.000, 19.0, -1, True, 5093.0, 0.234, 100.000, 21.0, -1, True, 4636.0, 0.247, 100.000, 24.0, -1, True, 4935.0, 0.209, 100.000, 24.0, -1, True, 4415.0
