Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, longest_preceding, mean_preceding, LB, UB, greedy_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16007, 10, 3, 3.000, 2.433, 1.000, 287.467, 0.766, 86.589, 0.800, 0.422, 2.000, 0.527, 1.000, 282, 0.001, 0, 0, False, 4, 1.9, 1228.0, 1264.0, 1378.0, 0.003, 100.000, 3.0, -1, True, 1462.0, 0.005, 100.000, 2.0, -1, True, 1264.0, 0.005, 100.000, 2.0, -1, True, 1436.0, 0.003, 100.000, 2.0, -1, True, 1552.0, 0.004, 100.000, 1.0, -1, True, 1378.0, 0.002, 100.000, 2.0, -1, True, 1264.0, 0.003, 100.000, 2.0, -1, True, 1264.0
16005, 14, 7, 2.214, 5.677, 1.214, 277.516, 0.891, 29.966, 0.786, 0.699, 6.000, 0.890, 2.000, 2630, 0.000, 0, 0, False, 4, 1.5, 1192.0, 1192.0, 1352.0, 0.009, 100.000, 16.0, -1, True, 1572.0, 0.019, 100.000, 15.0, -1, True, 1260.0, 0.008, 100.000, 13.0, -1, True, 1413.0, 0.010, 100.000, 13.0, -1, True, 1192.0, 0.012, 100.000, 14.0, -1, True, 1306.0, 0.008, 100.000, 15.0, -1, True, 1326.0, 0.008, 100.000, 16.0, -1, True, 1192.0
16001, 37, 3, 2.459, 1.385, 3.514, 299.077, 0.285, 196.143, 0.432, 0.502, 1.000, 1.161, 1.000, 208, 0.000, 0, 0, False, 26, 13.837837837837839, 7133.0, 7332.0, 7686.0, 0.016, 100.000, 2.0, -1, True, 7680.0, 0.022, 100.000, 1.0, -1, True, 7332.0, 0.015, 100.000, 0.0, -1, False, 7876.0, 0.018, 100.000, 0.0, -1, False, 7714.0, 0.019, 100.000, 0.0, -1, False, 7682.0, 0.015, 100.000, 0.0, -1, False, 8116.0, 0.025, 100.000, 0.0, -1, False, 7332.0
16004, 30, 3, 2.200, 2.485, 3.600, 295.439, 0.361, 155.665, 0.433, 0.504, 2.000, 1.163, 1.000, 2340, 0.000, 0, 0, False, 20, 10.366666666666667, 5445.0, 6804.0, 6900.0, 0.013, 100.000, 1.0, -1, True, 6909.0, 0.017, 100.000, 1.0, -1, True, 6804.0, 0.024, 100.000, 0.0, -1, False, 7126.0, 0.024, 100.000, 1.0, -1, True, 7014.0, 0.015, 100.000, 1.0, -1, True, 7032.0, 0.015, 100.000, 0.0, -1, False, 7036.0, 0.023, 100.000, 0.0, -1, False, 6804.0
16002, 33, 6, 2.636, 1.908, 1.061, 301.379, 0.243, 182.404, 0.879, 0.820, 2.000, 0.933, 2.000, 442, 0.000, 0, 0, False, 6, 1.606060606060606, 1967.0, 2572.0, 2900.0, 0.015, 100.000, 2.0, -1, True, 3341.0, 0.075, 100.000, 0.0, -1, False, 2572.0, 0.034, 100.000, 0.0, -1, False, 2963.0, 0.025, 100.000, 0.0, -1, False, 2875.0, 0.026, 100.000, 1.0, -1, True, 2792.0, 0.031, 100.000, 2.0, -1, True, 2732.0, 0.031, 100.000, 1.0, -1, True, 2572.0
16000, 34, 7, 2.500, 2.329, 3.235, 297.729, 0.312, 157.995, 1.265, 1.053, 2.000, 0.833, 3.000, 692, 0.000, 0, 0, False, 16, 7.882352941176471, 4499.0, 4822.0, 5166.0, 0.033, 100.000, 0.0, -1, False, 5360.0, 0.066, 100.000, 0.0, -1, False, 4822.0, 0.028, 100.000, 1.0, -1, True, 5198.0, 0.040, 100.000, 0.0, -1, False, 5151.0, 0.023, 100.000, 1.0, -1, True, 5271.0, 0.020, 100.000, 1.0, -1, True, 5108.0, 0.036, 100.000, 0.0, -1, False, 4822.0
16006, 37, 3, 2.568, 2.463, 0.892, 304.495, 0.359, 159.389, 0.486, 0.507, 2.000, 1.042, 1.000, 7462, 0.000, 0, 0, False, 6, 1.5945945945945945, 1926.0, 5980.0, 5997.0, 0.024, 100.000, 2.0, -1, True, 6484.0, 0.127, 100.000, 1.0, -1, True, 5980.0, 0.036, 100.000, 3.0, -1, True, 6428.0, 0.029, 100.000, 3.0, -1, True, 6379.0, 0.041, 100.000, 1.0, -1, True, 6358.0, 0.039, 100.000, 3.0, -1, True, 6147.0, 0.034, 100.000, 2.0, -1, True, 5980.0
16003, 39, 7, 2.436, 2.611, 0.667, 295.495, 0.639, 85.125, 1.205, 1.196, 3.000, 0.992, 3.000, 1812, 0.000, 0, 0, False, 6, 1.3333333333333333, 1774.0, 2051.0, 2693.0, 0.036, 100.000, 8.0, -1, True, 2406.0, 0.287, 100.000, 14.0, -1, True, 2051.0, 0.052, 100.000, 8.0, -1, True, 2783.0, 0.055, 100.000, 10.0, -1, True, 2074.0, 0.052, 100.000, 11.0, -1, True, 2139.0, 0.041, 100.000, 6.0, -1, True, 2081.0, 0.040, 100.000, 12.0, -1, True, 2051.0
16009, 25, 3, 7.320, 1.541, 3.440, 300.486, 0.381, 172.305, 0.960, 0.200, 2.000, 0.208, 1.000, 1920, 0.000, 0, 0, False, 12, 6.48, 2827.0, 2878.0, 3266.0, 0.031, 100.000, 1.0, -1, True, 3216.0, 0.082, 100.000, 1.0, -1, True, 2878.0, 0.036, 100.000, 1.0, -1, True, 3131.0, 0.033, 100.000, 2.0, -1, True, 3163.0, 0.032, 100.000, 2.0, -1, True, 3266.0, 0.023, 100.000, 2.0, -1, True, 3425.0, 0.030, 100.000, 0.0, -1, False, 2878.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, 7492, 0.000, 0, 0, False, 4, 2.272727272727273, 1208.0, 1418.0, 1683.0, 0.022, 100.000, 1.0, -1, True, 1690.0, 0.036, 100.000, 1.0, -1, True, 1418.0, 0.010, 100.000, 2.0, -1, True, 1858.0, 0.019, 100.000, 2.0, -1, True, 1693.0, 0.012, 100.000, 3.0, -1, True, 1534.0, 0.009, 100.000, 2.0, -1, True, 1545.0, 0.018, 100.000, 3.0, -1, True, 1418.0
16008, 26, 8, 7.692, 2.405, 3.192, 293.105, 0.322, 151.293, 2.808, 0.402, 2.000, 0.143, 1.000, 2714, 0.000, 0, 0, False, 13, 8.115384615384615, 3165.0, 3307.0, 3438.0, 0.066, 100.000, 0.0, -1, False, 3489.0, 0.126, 100.000, 0.0, -1, False, 3323.0, 0.067, 100.000, 0.0, -1, False, 3469.0, 0.063, 100.000, 0.0, -1, False, 3366.0, 0.050, 100.000, 0.0, -1, False, 3307.0, 0.073, 100.000, 0.0, -1, False, 3370.0, 0.051, 100.000, 0.0, -1, False, 3307.0
16010, 26, 6, 7.500, 2.082, 0.654, 297.497, 0.272, 172.362, 1.808, 0.402, 2.000, 0.222, 1.000, 3478, 0.000, 0, 0, False, 2, 0.5769230769230769, 632.0, 1499.0, 1499.0, 0.038, 100.000, 0.0, -1, False, 1590.0, 0.292, 100.000, 0.0, -1, False, 1557.0, 0.047, 100.000, 0.0, -1, False, 1818.0, 0.037, 100.000, 1.0, -1, True, 1616.0, 0.044, 100.000, 0.0, -1, False, 1571.0, 0.043, 100.000, 0.0, -1, False, 1648.0, 0.052, 100.000, 2.0, -1, True, 1499.0
16013, 19, 6, 6.789, 4.380, 2.789, 303.845, 0.879, 42.761, 2.737, 0.562, 4.000, 0.205, 2.000, 15852, 0.000, 0, 0, False, 12, 6.894736842105263, 3045.0, 3045.0, 3081.0, 0.035, 100.000, 9.0, -1, True, 3157.0, 0.045, 100.000, 8.0, -1, True, 3045.0, 0.055, 100.000, 7.0, -1, True, 3167.0, 0.052, 100.000, 8.0, -1, True, 3075.0, 0.052, 100.000, 9.0, -1, True, 3081.0, 0.029, 100.000, 11.0, -1, True, 3161.0, 0.046, 100.000, 10.0, -1, True, 3045.0
16017, 68, 5, 2.279, 1.458, 4.397, 306.284, 0.347, 185.659, 0.515, 0.503, 1.000, 0.978, 1.000, 388, 0.000, 0, 0, False, 39, 19.308823529411764, 11245.0, 11530.0, 11733.0, 0.045, 100.000, 0.0, -1, False, 12519.0, 0.101, 100.000, 0.0, -1, False, 11530.0, 0.061, 100.000, 0.0, -1, False, 11984.0, 0.046, 100.000, 0.0, -1, False, 11924.0, 0.061, 100.000, 0.0, -1, False, 11741.0, 0.058, 100.000, 1.0, -1, True, 11568.0, 0.045, 100.000, 0.0, -1, False, 11530.0
16011, 47, 5, 7.213, 1.525, 0.830, 300.605, 0.390, 171.350, 1.000, 0.000, 2.000, 0.000, 0.000, 2822, 0.000, 0, 0, False, 3, 0.9361702127659575, 953.0, 2275.0, 2426.0, 0.093, 100.000, 4.0, -1, True, 2526.0, 0.908, 100.000, 3.0, -1, True, 2368.0, 0.086, 100.000, 1.0, -1, True, 2560.0, 0.122, 100.000, 2.0, -1, True, 2397.0, 0.098, 100.000, 1.0, -1, True, 2429.0, 0.092, 100.000, 3.0, -1, True, 2275.0, 0.086, 100.000, 2.0, -1, True, 2275.0
16016, 74, 5, 2.473, 1.415, 4.446, 293.344, 0.108, 227.529, 0.527, 0.503, 1.000, 0.954, 1.000, 428, 0.001, 0, 0, False, 46, 25.243243243243242, 12869.0, 13123.0, 13685.0, 0.072, 100.000, 0.0, -1, False, 14480.0, 0.121, 100.000, 0.0, -1, False, 13123.0, 0.073, 100.000, 0.0, -1, False, 13318.0, 0.047, 100.000, 0.0, -1, False, 14587.0, 0.073, 100.000, 0.0, -1, False, 13828.0, 0.074, 100.000, 0.0, -1, False, 13334.0, 0.080, 100.000, 0.0, -1, False, 13123.0
16018, 73, 3, 2.452, 1.503, 0.973, 308.637, 0.134, 229.595, 0.521, 0.503, 2.000, 0.966, 1.000, 2340, 0.000, 0, 0, False, 9, 1.6712328767123288, 2746.0, 8427.0, 8639.0, 0.073, 100.000, 0.0, -1, False, 8485.0, 0.324, 100.000, 0.0, -1, False, 8427.0, 0.058, 100.000, 0.0, -1, False, 8961.0, 0.068, 100.000, 0.0, -1, False, 8530.0, 0.060, 100.000, 0.0, -1, False, 9138.0, 0.073, 100.000, 0.0, -1, False, 8700.0, 0.067, 100.000, 0.0, -1, False, 8427.0
16019, 76, 6, 2.342, 1.994, 1.079, 300.157, 0.520, 121.561, 0.816, 0.828, 2.000, 1.015, 2.000, 2604, 0.000, 0, 0, False, 16, 3.1052631578947367, 4552.0, 5011.0, 6106.0, 0.120, 100.000, 7.0, -1, True, 6199.0, 0.397, 100.000, 5.0, -1, True, 5011.0, 0.110, 100.000, 4.0, -1, True, 6033.0, 0.120, 100.000, 4.0, -1, True, 5604.0, 0.086, 100.000, 10.0, -1, True, 6061.0, 0.088, 100.000, 11.0, -1, True, 5371.0, 0.101, 100.000, 11.0, -1, True, 5011.0
16020, 59, 9, 2.559, 6.894, 4.305, 293.344, 0.769, 61.380, 1.797, 1.399, 7.000, 0.779, 4.000, 112792, 0.000, 0, 0, False, 36, 16.915254237288135, 9529.0, 9967.0, 10769.0, 0.164, 100.000, 17.0, -1, True, 10900.0, 0.380, 100.000, 16.0, -1, True, 9967.0, 0.202, 100.000, 26.0, -1, True, 11022.0, 0.146, 100.000, 17.0, -1, True, 10988.0, 0.196, 100.000, 17.0, -1, True, 11078.0, 0.187, 100.000, 18.0, -1, True, 10249.0, 0.217, 100.000, 21.0, -1, True, 9967.0
16022, 62, 5, 2.468, 3.993, 0.984, 299.928, 0.604, 103.311, 0.871, 0.820, 4.000, 0.941, 2.000, 51642, 0.000, 0, 0, False, 7, 1.903225806451613, 2303.0, 7978.0, 8549.0, 0.099, 100.000, 14.0, -1, True, 7978.0, 0.809, 100.000, 16.0, -1, True, 8142.0, 0.193, 100.000, 15.0, -1, True, 8818.0, 0.168, 100.000, 18.0, -1, True, 8419.0, 0.134, 100.000, 18.0, -1, True, 8626.0, 0.100, 100.000, 16.0, -1, True, 8359.0, 0.143, 100.000, 12.0, -1, True, 7978.0
16024, 63, 5, 7.413, 1.488, 4.381, 300.891, 0.116, 227.476, 0.937, 0.246, 1.000, 0.262, 1.000, 3852, 0.000, 0, 0, False, 36, 20.11111111111111, 8458.0, 8523.0, 8942.0, 0.166, 100.000, 0.0, -1, False, 9169.0, 0.250, 100.000, 0.0, -1, False, 8523.0, 0.147, 100.000, 0.0, -1, False, 8860.0, 0.115, 100.000, 0.0, -1, False, 9035.0, 0.140, 100.000, 0.0, -1, False, 8954.0, 0.176, 100.000, 0.0, -1, False, 8802.0, 0.183, 100.000, 0.0, -1, False, 8523.0
16015, 44, 7, 6.977, 5.550, 1.023, 299.583, 0.906, 32.721, 2.682, 0.601, 5.000, 0.224, 2.000, 371966, 0.000, 0, 0, False, 7, 1.8181818181818181, 1909.0, 2235.0, 2560.0, 0.298, 100.000, 67.0, -1, True, 2606.0, 1.279, 100.000, 83.0, -1, True, 2235.0, 0.239, 100.000, 84.0, -1, True, 2486.0, 0.226, 100.000, 75.0, -1, True, 2293.0, 0.267, 100.000, 69.0, -1, True, 2316.0, 0.255, 100.000, 80.0, -1, True, 2260.0, 0.360, 100.000, 81.0, -1, True, 2235.0
16021, 79, 5, 2.633, 4.010, 4.532, 306.139, 0.862, 49.953, 1.063, 0.867, 4.000, 0.816, 2.000, 87468, 0.000, 0, 0, False, 47, 22.60759493670886, 13213.0, 13222.0, 14097.0, 0.207, 100.000, 25.0, -1, True, 14049.0, 0.354, 100.000, 21.0, -1, True, 13222.0, 0.181, 100.000, 32.0, -1, True, 13886.0, 0.189, 100.000, 31.0, -1, True, 13541.0, 0.226, 100.000, 31.0, -1, True, 14105.0, 0.254, 100.000, 30.0, -1, True, 13452.0, 0.216, 100.000, 33.0, -1, True, 13222.0
16023, 91, 4, 2.670, 2.959, 1.000, 298.342, 0.820, 68.619, 1.044, 0.829, 3.000, 0.794, 2.000, 67320, 0.000, 0, 0, False, 6, 1.4505494505494505, 1804.0, 6340.0, 6667.0, 0.217, 100.000, 57.0, -1, True, 7388.0, 1.883, 100.000, 58.0, -1, True, 6340.0, 0.208, 100.000, 72.0, -1, True, 6879.0, 0.225, 100.000, 68.0, -1, True, 6503.0, 0.274, 100.000, 68.0, -1, True, 7098.0, 0.233, 100.000, 62.0, -1, True, 6657.0, 0.226, 100.000, 56.0, -1, True, 6340.0
16014, 48, 7, 7.229, 5.499, 0.938, 298.081, 0.717, 75.965, 2.833, 0.429, 5.000, 0.152, 2.000, 458988, 0.000, 0, 0, False, 9, 2.5, 2150.0, 4415.0, 4967.0, 0.285, 100.000, 22.0, -1, True, 4415.0, 1.677, 100.000, 20.0, -1, True, 4498.0, 0.380, 100.000, 33.0, -1, True, 4968.0, 0.391, 100.000, 24.0, -1, True, 4592.0, 0.337, 100.000, 24.0, -1, True, 4795.0, 0.332, 100.000, 22.0, -1, True, 4590.0, 0.362, 100.000, 24.0, -1, True, 4415.0
16025, 77, 4, 7.584, 1.491, 4.416, 295.348, 0.363, 174.898, 0.974, 0.160, 1.000, 0.164, 1.000, 11222, 0.000, 0, 0, False, 44, 20, 10027.0, 10050.0, 10636.0, 0.234, 100.000, 5.0, -1, True, 10347.0, 0.431, 100.000, 1.0, -1, True, 10050.0, 0.243, 100.000, 3.0, -1, True, 10488.0, 0.259, 100.000, 3.0, -1, True, 10500.0, 0.246, 100.000, 4.0, -1, True, 10731.0, 0.256, 100.000, 3.0, -1, True, 10485.0, 0.255, 100.000, 2.0, -1, True, 10050.0
